BiGG,MNXM,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,SMR_VSA1,SlogP_VSA2,SlogP_VSA3,TPSA,FractionCSP3,HeavyAtomCount,NOCount,NumHAcceptors,NumHeteroatoms,NumRotatableBonds,MolLogP,MolMR
h,MNXM1,0.0,0.0,0.0,0.0,0.3426425581429387,1.008,0.0,1.00727645209,0,1.0,1.0,1.0,1.0,-666.0,-666.0,-666.0,1.008,1.008,1.0,1.0,0.1125,0.1125,1.112,1.112,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.853276129399244,0.0,1.426638064699622,0.0,0.0,0.0,0.0,0,0,0,0,0,0.1125,1.112
nadh,MNXM10,12.382692774814435,-5.621081997501658,12.382692774814435,0.0436721319969717,0.0697230240826654,663.4300000000004,636.2140000000004,663.11021896382,242,0.4782931755065388,-0.8588578275127918,0.8588578275127918,0.4782931755065388,1.0454545454545454,1.681818181818182,2.363636363636364,31.2703715799316,10.095108550254578,2.4708392085371718,-2.2986205637572312,2.582167754846977,-2.4003845282815317,7.600467803999907,-0.2213801100655224,1.1471947891546252,1555.958626810091,31.973962536829145,22.245021872388666,24.0338762543885,20.67114151319456,12.684098489322675,15.640137091013454,9.784052272999414,12.785186052292424,6.843400620593433,9.409511378795484,4.658717481690026,6.711614932911571,-2.880000000000001,4391373025.084091,32.511482445551025,12.487479886977225,6.698796295266288,246.6451769354084,65.35979406282456,67.28140835021846,111.70167489420687,31.961948170509977,324.2700000000001,0.5238095238095238,44,21,20,23,11,-3.466129999999994,138.1601000000001
grdp,MNXM100,10.903369385594765,-5.60886555695298,10.903369385594765,0.3735788296800204,0.4839144154299152,311.18699999999995,294.051,311.04659688373005,112,0.2715807115379982,-0.7895094709326025,0.7895094709326025,0.2715807115379982,1.105263157894737,1.6842105263157894,2.1578947368421053,31.27024783689435,10.115615283154522,2.0999213791277445,-2.343529601737903,2.497006641507112,-2.1881509685093654,7.580921572509186,-0.3391979939173527,4.16134624817544,431.1591217308342,15.104448006685086,11.028186106185853,12.817040488185684,8.517455850740287,5.496668861985884,8.417855835346767,4.142469325301258,6.842719861790432,1.955705520477166,4.021004484993989,1.1074353956436689,2.532902886158401,-0.2600000000000002,5113.866234776323,18.74,8.12204015373465,12.514799565816103,112.35353705758249,23.76903025490057,32.644709909455486,6.606881964512918,17.96447510119806,121.78,0.6,19,7,7,9,8,1.0094,64.67200000000003
btal,MNXM1017,9.40486111111111,0.7083333333333333,9.40486111111111,0.7083333333333333,0.4443450475833798,72.107,64.04299999999999,72.057514876,30,0.1194797811341422,-0.3034030972577946,0.3034030972577946,0.1194797811341422,1.8,2.4,2.4,16.12871271764662,10.380675929382486,1.6636987729341337,-1.6800477671236316,1.7435851697182092,-1.641993214737829,5.483092870586735,-0.1073786415758046,2.4017152226171965,24.82892142331044,4.121320343559642,3.399812122026584,3.399812122026584,2.414213562373095,1.8510573320459265,1.8510573320459265,0.9553418012614794,0.9553418012614794,0.4065262647925708,0.4065262647925708,0.1178511301977579,0.1178511301977579,-0.33,11.245112497836532,4.67,3.67,3.67,31.99559947106314,4.794537184071822,4.794537184071822,6.286160523129555,4.794537184071822,17.07,0.75,5,1,1,1,2,0.9854,20.971999999999998
dtbt,MNXM1020,10.138870986283504,-0.9830210957839924,10.138870986283504,0.0159592309145881,0.6062516251886497,213.257,196.12099999999995,213.12446598391,86,0.2822186854415927,-0.5501718609054431,0.5501718609054431,0.2822186854415927,1.5333333333333334,2.2666666666666666,2.8,16.36521667472331,10.03117878121433,2.230027076854408,-2.135740164162921,2.132298050845632,-2.328073365575757,5.734207551940573,-0.3053407248896745,2.040143918138347,253.0520558264276,11.259148545064338,8.901158216239633,8.901158216239633,7.092224152875016,5.324821193885891,5.324821193885891,3.915484078098341,3.915484078098341,2.6187576456779014,2.6187576456779014,1.7302860166299363,1.7302860166299363,-1.26,2251.641971047875,11.812780203784571,5.579539941202564,4.184454189157022,89.21307317777375,20.324380577759563,15.007591973753234,29.18119446843265,4.794537184071822,84.75,0.8,15,5,4,5,6,-0.038899999999999,54.54150000000003
dca,MNXM1043,10.023378168798894,-0.9133720448055762,10.023378168798894,0.2299382716049383,0.523006751432249,171.26,152.10799999999998,171.13905342791,72,0.0413836168602579,-0.5501718609055201,0.5501718609055201,0.0413836168602579,1.0,1.5,2.0,16.365122478175948,10.088317202407982,1.9015408660969708,-2.011390687335986,2.0710173662205444,-2.2087128944385976,5.634942413780538,-0.3053392758596285,2.86138733944056,110.40620687739316,9.234204518682008,7.973350830420108,7.973350830420108,5.770055610029663,4.968908462243684,4.968908462243684,3.2433288114877885,3.2433288114877885,1.9844542311218416,1.9844542311218416,1.2264443484839536,1.2264443484839536,-0.53,402.8484647807608,11.47,8.565510983763133,9.47,74.97948590963883,9.901064578912528,9.901064578912528,5.969305287951849,4.794537184071822,40.13,0.9,12,2,2,2,8,1.877,47.617000000000026
mana,MNXM1045,9.97975954270597,-2.3090740740740747,9.97975954270597,0.863100907029478,0.295982465098165,195.147,184.059,195.05102627191,78,0.1217521518020305,-0.5472091694087304,0.5472091694087304,0.1217521518020305,1.1538461538461535,1.6153846153846154,1.9230769230769231,16.42418761276132,10.037643578755905,2.298967824350058,-2.252835485441113,2.0359269382992093,-2.51918688369139,5.699985728357766,-0.3198278996216321,4.235100562818548,170.3657023879603,10.593858127134675,6.569072416372568,6.569072416372568,5.9127900201214985,3.4541950405280217,3.4541950405280217,2.4949797077943896,2.4949797077943896,1.4961798926411094,1.4961798926411094,0.661799016916526,0.661799016916526,-0.73,507.2962513945214,12.27,5.097846203396706,3.2471227706419614,73.49088621303243,35.43370155311605,35.43370155311605,62.52468977766149,4.794537184071822,141.28,0.8333333333333334,13,7,7,7,5,-4.827799999999997,36.11999999999999
acg5sa,MNXM1062,10.40342970521542,-1.1740277777777772,10.40342970521542,0.0817592592592593,0.3336064942088703,172.16,162.07999999999998,172.06153137991,68,0.3278811406905272,-0.8621656533407821,0.8621656533407821,0.3278811406905272,1.75,2.333333333333333,2.6666666666666665,16.3683842030844,10.16029818835766,2.132328197350079,-2.0888074656062297,2.001785936659889,-2.232082942098225,5.782116727376714,-0.2162053906370914,4.13697845362924,195.5830567742917,9.560477932315068,6.688086163143852,6.688086163143852,5.574586062669974,3.454534751629037,3.454534751629037,2.246169860558745,2.246169860558745,1.1806557777720796,1.1806557777720796,0.6886120804080317,0.6886120804080317,-1.39,316.0667514088061,10.61,5.285246546348043,4.429367321032476,69.73573790454887,15.007591973753234,19.802129157825057,29.30157937942768,9.589074368143644,89.79,0.5714285714285714,12,5,4,5,5,-0.8026,39.8308
no2,MNXM107,8.0,1.0,8.0,1.0,0.2897816712562407,46.005,46.005,45.99345181991001,18,-0.1117357401861824,-0.4441321299069087,0.4441321299069087,0.1117357401861824,2.0,2.0,2.0,16.582381075700507,13.42456188045853,0.958444202912578,-1.513369288666229,1.3360348784238136,-1.1179920805727117,4.20979203086829,1.586150847577161,2.1874960973678963,10.264662506490405,2.7071067811865475,1.263710176427684,1.263710176427684,1.4142135623730951,0.3651483716701107,0.3651483716701107,0.074535599249993,0.074535599249993,0.0,0.0,0.0,0.0,-0.6000000000000001,2.754887502163468,2.4000000000000004,1.4,1.4,16.817313149337416,10.114318268765572,0.0,0.0,0.0,52.49,0.0,3,3,3,3,0,0.2506,9.162
hdca,MNXM108,10.189540305343046,-0.904562036092502,10.189540305343046,0.2338888888888888,0.4360012286909218,255.4219999999999,224.17399999999995,255.23295381191,108,0.0413836168602579,-0.5501718609055201,0.5501718609055201,0.0413836168602579,0.6666666666666666,1.0,1.3333333333333333,16.365129984459486,10.044731922667609,1.9343561909375917,-2.0317070728982816,2.1216330076687258,-2.208717177075892,5.6349583326481545,-0.3053410269842547,2.9229656090325555,177.93577382145608,13.476845205801297,12.215991517539395,12.215991517539395,8.770055610029663,7.968908462243684,7.968908462243684,5.36464915504743,5.36464915504743,3.484454231121842,3.484454231121842,2.287104520263774,2.287104520263774,-0.53,8372.602988287019,17.470000000000002,14.530716454159078,15.469999999999994,113.1691385960185,9.901064578912528,9.901064578912528,5.969305287951849,4.794537184071822,40.13,0.9375,18,2,2,2,14,4.217600000000003,75.31900000000006
