BiGG,MNXM
h,MNXM1,
nadh,MNXM10
grdp,MNXM100
btal,MNXM1017
mana,MNXM1045
acg5sa,MNXM1062
no2,MNXM107
hdca,MNXM108
oxur,MNXM1088
5fothf,MNXM1091982
5fthf,MNXM1091982
HC00342, MNXM1092518
acon,MNXM1092518
acon_C,MNXM1092518
glu5sa,MNXM1093051
glusemald,MNXM1093051
lgt__S,MNXM1093274
lgt_s,MNXM1093274
3oocoa,MNXM1093448
HC01406,MNXM1093448
o3xooctcoa,MNXM1093448
occoa,MNXM1093479
octcoa,MNXM1093479
tma,MNXM1094294
tmam,MNXM1094294
ppi,MNXM11
HC00832,MNXM1101253
fcl__L,MNXM1101253
fuc,MNXM1101253
uacmam,MNXM1101258
udpacmana,MNXM1101258
agdpcbi,MNXM1101279
gmp,MNXM1101285
2mahmp,MNXM1101289
kdolipid4,MNXM1101307
utp,MNXM1101474
imp,MNXM1101868
unaga,MNXM1101902
arbtn,MNXM1101938
5mta,MNXM1101977
gp4g,MNXM1102064
udp,MNXM1102128
Mlthf,MNXM1102150
xtp,MNXM1102152
ahcys,MNXM1102167
3amp,MNXM1102173
udpgalfur,MNXM1102185
3ump,MNXM1102189
cdp,MNXM1102191
10fthf,MNXM1102376
aps,MNXM1103086
uri,MNXM1103104
r1p,MNXM1103205
gdp,MNXM1103285
dnad,MNXM1103300
cmp,MNXM1103302
dad_5,MNXM1103313
ametam,MNXM1103325
ins,MNXM1103335
frdp,MNXM1103344
aicar,MNXM1103365
gsn,MNXM1103400
itp,MNXM1103428
1ddecg3p,MNXM1103432
3mop,MNXM1103447
pap,MNXM1103458
gtp,MNXM1103553
orot5p,MNXM1103557
ctp,MNXM1103718
25dhpp,MNXM1103734
25drapp,MNXM1103734
xtsn,MNXM1103769
3otdcoa,MNXM1103776
aacoa,MNXM1103802
ap4a,MNXM1103833
alac__S,MNXM1103847
glcur1p,MNXM1103867
M02447,MNXM1103926
Malthx,MNXM1103926
HC01180,MNXM1103932
tagdp__D,MNXM1103932
thf,MNXM1103936
Maltpt,MNXM1104039
gdpddman,MNXM1104155
HC01412,MNXM1104173
td2coa,MNXM1104173
tetdece1coa,MNXM1104173
sucr,MNXM1104180
gdpmann,MNXM1104188
Micit,MNXM1104204
cytd,MNXM1104207
2ommbl,MNXM1104227
accoa,MNXM1104266
b2coa,MNXM1104270
2omhmbl,MNXM1104278
tdcoa,MNXM1104283
btcoa,MNXM1104300
dtdp4d6dm,MNXM1104310
Malt6p,MNXM1104316
stcoa,MNXM1104352
3hadicoa,MNXM1104364
3hadpcoa,MNXM1104364
xmp,MNXM1104385
5mthf,MNXM1104393
preq1,MNXM1104395
lcts,MNXM1104432
ddcacoa,MNXM1104435
prpp,MNXM1104453
sbt6p,MNXM1104463
6pgl,MNXM1104491
dtdp4d6dg,MNXM1104509
allul6p,MNXM1104516
fprica,MNXM1104518
Malttr,MNXM1104527
uacgam,MNXM1104529
dpcoa,MNXM1104543
pram,MNXM1104549
paps,MNXM1104555
idp,MNXM1104559
phaccoa,MNXM1104563
3ohodcoa,MNXM1104572
Mnl,MNXM1104590
M02451,MNXM1104617
Maltttr,MNXM1104617
dc2coa,MNXM1104631
hdd2coa,MNXM1104633
25aics,MNXM1104647
dd2coa,MNXM1104661
prpncoa,MNXM1104673
alaala,MNXM1104679
3hdcoa,MNXM1104681
3odcoa,MNXM1104685
3oddcoa,MNXM1104695
3ohcoa,MNXM1104699
HC01408,MNXM1104699
3hddcoa,MNXM1104711
3ohdcoa,MNXM1104713
hx2coa,MNXM1104717
3hhcoa,MNXM1104721
HC01407,MNXM1104721
3hocoa,MNXM1104724
HC01405,MNXM1104724
3htdcoa,MNXM1104726
kdo2lipid4,MNXM1104740
udpgal,MNXM1104754
cbl1,MNXM1104756
succoa,MNXM1104774
od2coa,MNXM1104783
ump,MNXM1104823
sheme,MNXM1104857
adocbip,MNXM1104880
udpglcur,MNXM1104890
4ahmmp,MNXM1104899
gam1p,MNXM1104944
glc__D,MNXM1105029
ala__D,MNXM1105731
ala__L,MNXM1105732
crn,MNXM1105737
uacmamu,MNXM1105744
adn,MNXM1105760
fadh2,MNXM1105762
glcur,MNXM1105765
acgal1p,MNXM1105799
Man,MNXM1105842
g6p,MNXM1105858
3hbcoa,MNXM1105912
acgal,MNXM1105933
acgam,MNXM1105935
oxadpcoa,MNXM1105939
inost,MNXM1105941
dtdpglu,MNXM1105949
urate,MNXM1105965
adpglc,MNXM1105977
aact,MNXM1106
Malt,MNXM1106000
gdpfuc,MNXM1106003
HC01415,MNXM1106007
c81coa,MNXM1106007
oc2coa,MNXM1106007
tre,MNXM1106022
Metox,MNXM1106044
Man1p,MNXM1106057
g1p,MNXM1106065
gal1p,MNXM1106067
Malcoa,MNXM1106093
inoshp,MNXM1106105
Minohp,MNXM1106105
dtdprmn,MNXM1106112
ppcoa,MNXM1106156
pmtcoa,MNXM1106160
lys__L,MNXM1106164
3hhdcoa,MNXM1106166
HC01397,MNXM1106166
Mal__L,MNXM1107192
uamr,MNXM1107410
fmnh2,MNXM1107623
galct__D,MNXM1107694
galctr__D,MNXM1107694
glcr,MNXM1107695
ocdcea,MNXM1107708
hemeO,MNXM1107744
cit,MNXM1107753
u3hga,MNXM1107764
u3hga_HP,MNXM1107764
his__L,MNXM1107769
asn__L,MNXM1107821
f6p,MNXM1107898
no,MNXM1107902
Mmcoa__S,MNXM1107904
HC00664,MNXM1107945
adphep_DD,MNXM1107947
3hcinnm,MNXM1107995
nicrnt,MNXM1108016
h2,MNXM1108018
rib__D,MNXM1108051
13dpg,MNXM1108073
etoh,MNXM1108092
ppp9,MNXM1108136
2dr1p,MNXM1108138
gal,MNXM1108175
asp__L,MNXM1108206
3sala,MNXM1108289
adphep_LD,MNXM1108522
gal_bD,MNXM112
pro__L,MNXM114
2aobut,MNXM114087
sucorn,MNXM1152
slnt,MNXM1157
2mecdp,MNXM1168
urea,MNXM117
3dhgulnp,MNXM1170
4pasp,MNXM1177
5aprbu,MNXM1178
ptrc,MNXM118
ara5p,MNXM1184
ppgpp,MNXM1189
Mpt,MNXM1193
23dhmp,MNXM1202
sucbz,MNXM1212
Mercppyr,MNXM1214
2dda7p,MNXM1219
5prdmbz,MNXM1224
galt,MNXM1233
xu5p__L,MNXM1238
spmd,MNXM124
HC00250,MNXM124865
h2s,MNXM124865
12ppd__S,MNXM1255
skm5p,MNXM1265
Met__D,MNXM1275
ca2,MNXM128
glu5p,MNXM1280
histd,MNXM1281
co2,MNXM13
dmpp,MNXM132
phom,MNXM1334
selnp,MNXM1339
3psme,MNXM1365
ggbutal,MNXM1378
cbp,MNXM138
acg5p,MNXM1384
prfp,MNXM1397
34dhpac,MNXM1401
pppn,MNXM1403
gg4abut,MNXM1406
4per,MNXM1407
prlp,MNXM1408
thr__L,MNXM142
eig3p,MNXM1422
ala_B,MNXM144
ru5p__D,MNXM145
glu1sa,MNXM1453
2cpr5p,MNXM1455
imacp,MNXM1456
4adcho,MNXM1458
hisp,MNXM1482
Mso3,MNXM1485
pran,MNXM1489
thrp,MNXM1492
ppap,MNXM1499
udpLa4o,MNXM1505
ohpb,MNXM1514
g3pi,MNXM1517
dtdp,MNXM152
3hppnl,MNXM1526
34hpp,MNXM153
dmbzid,MNXM1531
5apru,MNXM1532
gdptp,MNXM1561
hg2,MNXM1562
sl2a6o,MNXM1563
idon__L,MNXM1565
ura,MNXM158
