Source	BiGG	MNXM	Stuff	
bigg.metabolite:	oh1	MNXM02	Hydroxideion
bigg.metabolite:	h	MNXM1	H+
bigg.metabolite:	nadh	MNXM10	Nicotinamideadeninedinucleotide-reduced
bigg.metabolite:	grdp	MNXM100	Geranyldiphosphate
bigg.metabolite:	mercplaccys	MNXM10053	3-mercaptolactate-cysteinedisulfide
bigg.metabolite:	CE2176	MNXM10073	3-O-methyldopa
bigg.metabolite:	12dgr_SC	MNXM1012	12Diacylglycerol(yeastspecific)
bigg.metabolite:	triodthy	MNXM1013	Triiodothyronine
bigg.metabolite:	4hdebrisoquine	MNXM10135	4hdebrisoquinec
bigg.metabolite:	4mtolbutamide	MNXM10136	4mtolbutamidec
bigg.metabolite:	CN0010	MNXM10149	Benzo[a]pyrene-4,5-diol
bigg.metabolite:	3uib	MNXM1015	3-Ureidoisobutyrate
bigg.metabolite:	 btal	MNXM1017	Butanal
bigg.metabolite:	abt__D	MNXM1018	D-Arabitol
bigg.metabolite:	dtbt	MNXM1020	Dethiobiotin
bigg.metabolite:	glutar	MNXM1021	Glutarate
bigg.metabolite:	CE2153	MNXM102111	6-hydroxy-1,2,3,4-tetrahydro-beta-carboline
bigg.metabolite:	lpam	MNXM1024	Lipoamide
bigg.metabolite:	5homeprazole	MNXM10267	5homeprazolec
bigg.metabolite:	tartr__M	MNXM1031	MesoTartaricacid
bigg.metabolite:	5g2oxpt	MNXM1037	2-Oxoarginine
bigg.metabolite:	dca	MNXM1043	Decanoate(n-C10:0)
bigg.metabolite:	mana	MNXM1045	D-Mannonate
bigg.metabolite:	CN0011	MNXM10462	Benzo[a]pyrene-9,10-diol
bigg.metabolite:	gcarote	MNXM1048	Gamma-Carotene
bigg.metabolite:	5hoxindact	MNXM1057	5-Hydroxyindoleacetaldehyde
bigg.metabolite:	Ac1PIM4	MNXM10580	Acylphosphatidylinositolmannosidetetra-mannose(tuberculosis)
bigg.metabolite:	acg5sa	MNXM1062	N-Acetyl-L-glutamate5-semialdehyde
bigg.metabolite:	CE2957	MNXM10629	18-hydroxy-all-trans-retinoate
bigg.metabolite:	3mcat	MNXM1064	3-Methylcatechol
bigg.metabolite:	g1m8mpdol_U	MNXM10654	Alpha-D-Glucosyl-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol,humanuterinehomolog
bigg.metabolite:	m1ocdca	MNXM106625	Methyloctadecanoate
bigg.metabolite:	avite2	MNXM10684	Alpha-Tocotrienol
bigg.metabolite:	no2	MNXM107	Nitrite
bigg.metabolite:	CE2615	MNXM107082	2-hydroxyamino-3,8-dimethylimidazo[4,5-f]quinoxaline
bigg.metabolite:	antipyrene	MNXM10720	Antipyrenec
bigg.metabolite:	apofetn	MNXM10729	Apoferritin
bigg.metabolite:	arabinanagalfragund	MNXM10733	Arabinan-arabinofuranose-galactofuranosyl(30)-rhamanosyl-N-acetylglucosamyl-undecaprenyldiphosphate(Mtb)
bigg.metabolite:	c6dc	MNXM107333	Adipoylcarnitine||5-Carboxypentanoylcarnitine
bigg.metabolite:	oleth	MNXM107386	OleoylEthanolamide
bigg.metabolite:	4hba	MNXM107505	4-Hydroxy-benzylalcohol
bigg.metabolite:	hexdeceeth	MNXM107548	HexadecenoylEthanolamide,C16:1-Ethanolamide(Delta9)
bigg.metabolite:	pmeth	MNXM107548	Palmitoylethanolamide
bigg.metabolite:	PIM2	MNXM107973	Phosphatidylinositolmannosidedi-mannose(tuberculosis)
bigg.metabolite:	hdca	MNXM108	Hexadecanoate(n-C16:0)
bigg.metabolite:	mbdg	MNXM10816	BetaMethylglucoside
bigg.metabolite:	cca_d3	MNXM10864	Calcitroicacid(D3)
bigg.metabolite:	oxur	MNXM1088	Oxalureate
bigg.metabolite:	clpn160190	MNXM10889	Cardiolipin(dihexadecanoyl,dimethylstearoyl)
bigg.metabolite:	CE5101	MNXM1089002	1-Phosphatidyl-1D-Myo-Inositol5-Phosphate
bigg.metabolite:	HC02050	MNXM1089003	Phosphatidate-Ld-Pc-Pool
bigg.metabolite:	HC02051	MNXM1089004	Phosphatidate-Ld-Pe-Pool
bigg.metabolite:	HC02054	MNXM1089005	Phosphatidate-Ld-Sm-Pool
bigg.metabolite:	HC02056	MNXM1089006	1,2-Diacylglycerol-Ld-Pc-Pool
bigg.metabolite:	HC02057	MNXM1089007	1,2-Diacylglycerol-Ld-Pe-Pool
bigg.metabolite:	HC02060	MNXM1089008	1,2-Diacylglycerol-Ld-Sm-Pool
bigg.metabolite:	HC02070	MNXM1089009	Fatty-Acid-Ld-Sm-Pool
bigg.metabolite:	HC02076	MNXM1089010	1-Acylglycerol-Ld-Sm-Pool
bigg.metabolite:	M00213	MNXM1089011	ProteinN6-Methyl-L-Lysine
bigg.metabolite:	M00234	MNXM1089012	1,2-Diacylglycerol-Chylomicron-Pool
bigg.metabolite:	M00503	MNXM1089013	Monoacylglycerol-Chylomicron-Pool
bigg.metabolite:	M00510	MNXM1089014	1-Acylglycerol-VLDL-Pool
bigg.metabolite:	M01820	MNXM1089015	Fatty-Acid-VLDL-Pool
bigg.metabolite:	M02195	MNXM1089016	Fuc-alpha1->2Gal-beta1->3GlcNAc-beta1->3Gal-beta1->4Glc-beta1-1'Cer
bigg.metabolite:	M02683	MNXM1089017	Paragloboside
bigg.metabolite:	M02686	MNXM1089018	Pe-Nme-Ld-Pool
bigg.metabolite:	M02758	MNXM1089019	Phosphatidyl-N-Dimethylethanolamine
bigg.metabolite:	M02956	MNXM1089020	Tags-Chylomicron-Pool
bigg.metabolite:	Stmyn	MNXM1091	Streptomycin
bigg.metabolite:	10m3ouACP	MNXM1091487	10-methyl-3-oxo-undecanoyl-ACP
bigg.metabolite:	10m3uACP	MNXM1091488	10-methyl-3-hydroxy-undecanoyl-ACP
bigg.metabolite:	10mdACP	MNXM1091489	10-methyl-dodecanoyl-ACP
bigg.metabolite:	10mtd2eACP	MNXM1091490	10-methyl-trans-dodec-2-enoyl-ACP
bigg.metabolite:	10mtu2eACP	MNXM1091491	10-methyl-trans-undec-2-enoyl-ACP
bigg.metabolite:	10muACP	MNXM1091492	10-methyl-undecanoyl-ACP
bigg.metabolite:	11m3hdACP	MNXM1091493	11-methyl-3-hydroxy-dodecanoyl-ACP
bigg.metabolite:	11m3odACP	MNXM1091494	11-methyl-3-oxo-dodecanoyl-ACP
bigg.metabolite:	11mdACP	MNXM1091495	11-methyl-dodecanoyl-ACP
bigg.metabolite:	11mtdeACP	MNXM1091496	11-methyl-trans-dodec-2-enoyl-ACP
bigg.metabolite:	123oxtACP	MNXM1091497	12-methyl-3-oxo-tetra-decanoyl-ACP
bigg.metabolite:	12dgr140160	MNXM1091498	1,2-Diacyl-sn-glycerol(14:0/16:0)
bigg.metabolite:	12dgr1401619Z	MNXM1091499	1,2-Diacyl-sn-glycerol(14:0/16:1(9Z))
bigg.metabolite:	12dgr140162n4	MNXM1091500	1,2-Diacyl-sn-glycerol(14:0/16:2(9Z,12Z))
bigg.metabolite:	12dgr140163n4	MNXM1091501	1,2-Diacyl-sn-glycerol(14:0/16:3(6Z,9Z,12Z))
bigg.metabolite:	12dgr140180	MNXM1091502	1,2-Diacyl-sn-glycerol(14:0/18:0)
bigg.metabolite:	12dgr1401819Z	MNXM1091503	1,2-Diacyl-sn-glycerol(14:0/18:1(9Z))
bigg.metabolite:	12dgr140182n6	MNXM1091504	1,2-Diacyl-sn-glycerol(14:0/18:2(9Z,12Z))
bigg.metabolite:	12dgr140183n3	MNXM1091505	1,2-Diacyl-sn-glycerol(14:0/18:3(9Z,12Z,15Z))
bigg.metabolite:	12dgr140183n6	MNXM1091506	1,2-Diacyl-sn-glycerol(14:0/18:3(6Z,9Z,12Z))
bigg.metabolite:	12dgr140204n6	MNXM1091507	1,2-Diacyl-sn-glycerol(14:0/20:4(5Z,8Z,11Z,14Z))
bigg.metabolite:	12dgr140205n3	MNXM1091508	1,2-Diacyl-sn-glycerol(14:0/20:5(5Z,8Z,11Z,14Z,17Z))
bigg.metabolite:	12dgr140226n3	MNXM1091509	1,2-Diacyl-sn-glycerol(14:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
bigg.metabolite:	12dgr160140	MNXM1091510	1,2-Diacyl-sn-glycerol(16:0/14:0)
bigg.metabolite:	12dgr1601619Z	MNXM1091511	1,2-Diacyl-sn-glycerol(16:0/16:1(9Z))
bigg.metabolite:	12dgr160180	MNXM1091512	1,2-Diacyl-sn-glycerol(16:0/18:0)
bigg.metabolite:	12dgr160182n6	MNXM1091513	1,2-Diacyl-sn-glycerol(16:0/18:2(9Z,12Z))
bigg.metabolite:	12dgr160183n3	MNXM1091514	1,2-Diacyl-sn-glycerol(16:0/18:3(9Z,12Z,15Z))
bigg.metabolite:	12dgr160183n6	MNXM1091515	1,2-Diacyl-sn-glycerol(16:0/18:3(6Z,9Z,12Z))
bigg.metabolite:	12dgr160204n6	MNXM1091516	1,2-Diacyl-sn-glycerol(16:0/20:4(5Z,8Z,11Z,14Z))
bigg.metabolite:	12dgr160205n3	MNXM1091517	1,2-Diacyl-sn-glycerol(16:0/20:5(5Z,8Z,11Z,14Z,17Z))
bigg.metabolite:	12dgr160226n3	MNXM1091518	1,2-Diacyl-sn-glycerol(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
bigg.metabolite:	12dgr1619Z140	MNXM1091519	1,2-Diacyl-sn-glycerol(16:1(9Z)/14:0)
bigg.metabolite:	12dgr1619Z160	MNXM1091520	1,2-Diacyl-sn-glycerol(16:1(9Z)/16:0)
bigg.metabolite:	12dgr1619Z162n4	MNXM1091521	1,2-Diacyl-sn-glycerol(16:1(9Z)/16:2(9Z,12Z))
bigg.metabolite:	12dgr1619Z163n4	MNXM1091522	1,2-Diacyl-sn-glycerol(16:1(9Z)/16:3(6Z,9Z,12Z))
bigg.metabolite:	12dgr1619Z180	MNXM1091523	1,2-Diacyl-sn-glycerol(16:1(9Z)/18:0)
bigg.metabolite:	12dgr1619Z1819Z	MNXM1091524	1,2-Diacyl-sn-glycerol(16:1(9Z)/18:1(9Z))
bigg.metabolite:	12dgr1619Z182n6	MNXM1091525	1,2-Diacyl-sn-glycerol(16:1(9Z)/18:2(9Z,12Z))
bigg.metabolite:	12dgr1619Z183n3	MNXM1091526	1,2-Diacyl-sn-glycerol(16:1(9Z)/18:3(9Z,12Z,15Z))
bigg.metabolite:	12dgr1619Z183n6	MNXM1091527	1,2-Diacyl-sn-glycerol(16:1(9Z)/18:3(6Z,9Z,12Z))
bigg.metabolite:	12dgr1619Z204n6	MNXM1091528	1,2-Diacyl-sn-glycerol(16:1(9Z)/20:4(5Z,8Z,11Z,14Z))
bigg.metabolite:	12dgr1619Z205n3	MNXM1091529	1,2-Diacyl-sn-glycerol(16:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))
bigg.metabolite:	12dgr1619Z226n3	MNXM1091530	1,2-Diacyl-sn-glycerol(16:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
bigg.metabolite:	12dgr1619Z240	MNXM1091531	1,2-Diacyl-sn-glycerol(16:1(9Z)/24:0)
bigg.metabolite:	12dgr180140	MNXM1091532	1,2-Diacyl-sn-glycerol(18:0/14:0)
bigg.metabolite:	12dgr180160	MNXM1091533	1,2-Diacyl-sn-glycerol(18:0/16:0)
