BiGG,MNXM,MolWt,NumHeteroatoms,NumHAcceptors,NumValenceElectrons,MolMR,MolLogP,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,charge,NumHDonors
h,MNXM1,1.008,0,0,0,1.112,0.1125,1.0,1.0,1.0,1.0,1.0,0
nadh,MNXM10,663.4300000000004,23,20,242,138.1601000000001,-3.466129999999994,0.4782931755065388,-0.8588578275127918,0.8588578275127918,0.4782931755065388,-2.0,7
grdp,MNXM100,311.18699999999995,9,7,112,64.67200000000003,1.0094,0.2715807115379982,-0.7895094709326025,0.7895094709326025,0.2715807115379982,-3.0,0
btal,MNXM1017,72.107,1,1,30,20.971999999999998,0.9854,0.1194797811341422,-0.3034030972577946,0.3034030972577946,0.1194797811341422,0.0,0
dtbt,MNXM1020,213.257,5,4,86,54.54150000000003,-0.038899999999999,0.2822186854415927,-0.5501718609054431,0.5501718609054431,0.2822186854415927,-1.0,2
dca,MNXM1043,171.26,2,2,72,47.617000000000026,1.877,0.0413836168602579,-0.5501718609055201,0.5501718609055201,0.0413836168602579,-1.0,0
mana,MNXM1045,195.147,7,7,78,36.11999999999999,-4.827799999999997,0.1217521518020305,-0.5472091694087304,0.5472091694087304,0.1217521518020305,-1.0,5
acg5sa,MNXM1062,172.16,5,4,68,39.8308,-0.8026,0.3278811406905272,-0.8621656533407821,0.8621656533407821,0.3278811406905272,-1.0,1
no2,MNXM107,46.005,3,3,18,9.162,0.2506,-0.1117357401861824,-0.4441321299069087,0.4441321299069087,0.1117357401861824,-1.0,0
hdca,MNXM108,255.4219999999999,2,2,108,75.31900000000006,4.217600000000003,0.0413836168602579,-0.5501718609055201,0.5501718609055201,0.0413836168602579,-1.0,0
oxur,MNXM1088,131.067,6,3,50,25.4263,-1.6774299999999998,0.3390873469104446,-0.8534646481307254,0.8534646481307254,0.3390873469104446,-1.0,3
5fthf,MNXM1091982,471.43000000000006,14,10,180,112.77180000000006,-2.455129999999997,0.3257174992933484,-0.8569814708665705,0.8569814708665705,0.3257174992933484,-2.0,6
acon_C,MNXM1092518,171.08399999999995,6,6,66,27.720999999999997,-4.447399999999999,0.0678830082895813,-0.5498050625341044,0.5498050625341044,0.0678830082895813,-3.0,0
cur,MNXM1092739,368.3850000000001,6,6,140,102.01660000000004,3.369900000000002,0.162918644467687,-0.5042543435663183,0.5042543435663183,0.162918644467687,0.0,2
dcacoa,MNXM1092836,917.7620000000009,28,23,336,203.85509999999945,-0.1733999999999956,0.4807077012465598,-0.8619479510336412,0.8619479510336412,0.4807077012465598,-4.0,5
dhcholn,MNXM1092863,405.5550000000002,5,5,164,106.40860000000008,2.3222000000000005,0.1363745510508625,-0.550171675867077,0.550171675867077,0.1363745510508625,-1.0,2
f,MNXM1092965,18.998,1,0,8,0.0,-2.996,-1.0,-1.0,1.0,1.0,-1.0,0
glu5sa,MNXM1093051,131.13100000000003,4,3,52,30.90919999999999,-0.6226000000000003,0.3199813237164219,-0.4800862949407156,0.4800862949407156,0.3199813237164219,0.0,2
lgt__S,MNXM1093274,378.383,12,9,142,87.78060000000002,-2.012399999999994,0.3248907103425816,-0.8619721293674992,0.8619721293674992,0.3248907103425816,-1.0,5
mercpeth,MNXM1093356,78.136,2,2,26,20.9388,-0.0914999999999999,0.0518709158571318,-0.3955283175246528,0.3955283175246528,0.0518709158571318,0.0,2
3oocoa,MNXM1093448,903.6910000000008,29,24,328,195.01109999999957,-1.7745999999999968,0.4807077012465598,-0.8619479510336331,0.8619479510336331,0.4807077012465598,-4.0,5
occoa,MNXM1093479,889.7080000000009,28,23,324,194.6210999999995,-0.9535999999999965,0.4807077012465598,-0.8619479510336412,0.8619479510336412,0.4807077012465598,-4.0,5
