,d1_1515,d2_1515,value1515
0,mass,mass,0.9999999999999998
1,mass,MaxEStateIndex,0.9198020599168976
2,mass,MinEStateIndex,-0.6751666142617913
3,mass,MaxAbsEStateIndex,0.9198020599168976
4,mass,MinAbsEStateIndex,-0.3824394887617929
5,mass,qed,-0.7649285229977576
6,mass,MolWt,0.9999977624819968
7,mass,HeavyAtomMolWt,0.9994294578619238
8,mass,ExactMolWt,0.9999998247726362
9,mass,NumValenceElectrons,0.9943304689300788
10,mass,MaxPartialCharge,0.5748936247056045
11,mass,MinPartialCharge,-0.5647628473281983
12,mass,MaxAbsPartialCharge,0.484772042032017
13,mass,MinAbsPartialCharge,0.5539505414165754
14,mass,FpDensityMorgan1,-0.68965883879741
15,mass,FpDensityMorgan2,-0.5042228481688288
16,mass,FpDensityMorgan3,-0.17439398797551275
17,mass,BCUT2D_MWHI,0.5826860474241269
18,mass,BCUT2D_MWLOW,-0.6122916611230503
19,mass,BCUT2D_CHGHI,0.710762682292385
20,mass,BCUT2D_CHGLO,-0.68512519150423
21,mass,BCUT2D_LOGPHI,0.8076780908354397
22,mass,BCUT2D_LOGPLOW,-0.41069054648949677
23,mass,BCUT2D_MRHI,0.5563207342944003
24,mass,BCUT2D_MRLOW,-0.35325552883287226
25,mass,BalabanJ,-0.35948659722979853
26,mass,BertzCT,0.9574168278722875
27,mass,Chi0,0.992389152920149
28,mass,Chi0n,0.9838506093830394
29,mass,Chi0v,0.9930304064205809
30,mass,Chi1,0.9898196798146933
31,mass,Chi1n,0.975417966797146
32,mass,Chi1v,0.9857598871185578
33,mass,Chi2n,0.975579017657178
34,mass,Chi2v,0.9839734005548375
35,mass,Chi3n,0.9673049415845293
36,mass,Chi3v,0.9810114957951526
37,mass,Chi4n,0.9610772903327748
38,mass,Chi4v,0.974627703103494
39,mass,HallKierAlpha,-0.7000376718751972
40,mass,Ipc,0.9871610194451118
41,mass,Kappa1,0.9826733911238024
42,mass,Kappa2,0.9442136278594653
43,mass,Kappa3,0.7439031799185192
44,mass,LabuteASA,0.9937827601795393
45,mass,PEOE_VSA1,0.8134759651206848
46,mass,SMR_VSA1,0.8602064973988224
47,mass,SlogP_VSA2,0.8011003835521658
48,mass,SlogP_VSA3,0.831387597525802
49,mass,TPSA,0.8544093715152962
50,mass,FractionCSP3,0.2997966473355346
51,mass,HeavyAtomCount,0.9930777701866405
