,Source,BiGG,MNXM,Stuff,Unnamed: 4
1,bigg.metabolite:,h,MNXM1,H+,
2,bigg.metabolite:,nadh,MNXM10,Nicotinamideadeninedinucleotide-reduced,
3,bigg.metabolite:,grdp,MNXM100,Geranyldiphosphate,
12,bigg.metabolite:, btal,MNXM1017,Butanal,
22,bigg.metabolite:,mana,MNXM1045,D-Mannonate,
27,bigg.metabolite:,acg5sa,MNXM1062,N-Acetyl-L-glutamate5-semialdehyde,
33,bigg.metabolite:,no2,MNXM107,Nitrite,
44,bigg.metabolite:,hdca,MNXM108,Hexadecanoate(n-C16:0),
47,bigg.metabolite:,oxur,MNXM1088,Oxalureate,
564,bigg.metabolite:,5fothf,MNXM1091982,5Formyltetrahydrofolate,
565,bigg.metabolite:,5fthf,MNXM1091982,5-Formyltetrahydrofolate,
1102,bigg.metabolite:,HC00342,MNXM1092518,"Cis-aconitate(3-)||(1Z)-prop-1-ene-1,2,3-tricarboxylat",
1103,bigg.metabolite:,acon,MNXM1092518,Cis-Aconitate,
1104,bigg.metabolite:,acon_C,MNXM1092518,Cis-Aconitate,
1633,bigg.metabolite:,glu5sa,MNXM1093051,L-Glutamate5-semialdehyde,
1634,bigg.metabolite:,glusemald,MNXM1093051,L-Glutamate5-semialdehyde,
1856,bigg.metabolite:,lgt__S,MNXM1093274,(R)-S-Lactoylglutathione,
1857,bigg.metabolite:,lgt_s,MNXM1093274,(R)-S-Lactoylglutathione,
2029,bigg.metabolite:,3oocoa,MNXM1093448,3-Oxooctanoyl-CoA,
2030,bigg.metabolite:,HC01406,MNXM1093448,3-Oxo-OctanoylCoenzymeA,
2031,bigg.metabolite:,o3xooctcoa,MNXM1093448,3-oxo-octanoyl-coa,
2062,bigg.metabolite:,occoa,MNXM1093479,Octanoyl-CoA(n-C8:0CoA),
2063,bigg.metabolite:,octcoa,MNXM1093479,Octanoyl-CoA,
2883,bigg.metabolite:,tma,MNXM1094294,Trimethylamine,
2884,bigg.metabolite:,tmam,MNXM1094294,Trimethylamine,
3047,bigg.metabolite:,ppi,MNXM11,Diphosphate,
3063,bigg.metabolite:,HC00832,MNXM1101253,L-Fuculose,
3064,bigg.metabolite:,fcl__L,MNXM1101253,L-fuculose,
3065,bigg.metabolite:,fuc,MNXM1101253,L-fuculose,
3069,bigg.metabolite:,uacmam,MNXM1101258,UDP-N-acetyl-D-mannosamine,
3070,bigg.metabolite:,udpacmana,MNXM1101258,UDP-N-acetyl-D-mannosamine,
