,#source,ID,description
41,bigg.metabolite:h,MNXM1,H+
116,bigg.metabolite:nadh,MNXM10,Nicotinamide adenine dinucleotide - reduced
149,bigg.metabolite:grdp,MNXM100,Geranyl diphosphate
39213,bigg.metabolite:btal,MNXM1017,Butanal
46276,bigg.metabolite:dtbt,MNXM1020,Dethiobiotin
98224,bigg.metabolite:dca,MNXM1043,Decanoate (n-C10:0)
102851,bigg.metabolite:mana,MNXM1045,D-Mannonate
140583,bigg.metabolite:acg5sa,MNXM1062,N-Acetyl-L-glutamate 5-semialdehyde
158650,bigg.metabolite:no2,MNXM107,Nitrite
180792,bigg.metabolite:hdca,MNXM108,Hexadecanoate (n-C16:0)
198635,bigg.metabolite:oxur,MNXM1088,Oxalureate
206275,bigg.metabolite:5fthf,MNXM1091982,5-Formyltetrahydrofolate
208106,bigg.metabolite:acon_C,MNXM1092518,Cis-Aconitate
208935,bigg.metabolite:cur,MNXM1092739,Curcumin
209271,bigg.metabolite:dcacoa,MNXM1092836,Decanoyl-CoA (n-C10:0CoA)
209390,bigg.metabolite:dhcholn,MNXM1092863,"3?,12?-dihydroxy-7-oxo-5?-cholan-24-oate"
209753,bigg.metabolite:f,MNXM1092965,Fluoride
210079,bigg.metabolite:glu5sa,MNXM1093051,L-Glutamate 5-semialdehyde
210858,bigg.metabolite:lgt__S,MNXM1093274,(R)-S-Lactoylglutathione
211163,bigg.metabolite:mercpeth,MNXM1093356,Mercaptoethanol
211495,bigg.metabolite:3oocoa,MNXM1093448,3-Oxooctanoyl-CoA
211628,bigg.metabolite:occoa,MNXM1093479,Octanoyl-CoA (n-C8:0CoA)
214409,bigg.metabolite:teo2,MNXM1094276,Tellurite
214491,bigg.metabolite:tma,MNXM1094294,Trimethylamine
216219,bigg.metabolite:fgam,MNXM1094915,N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide
216247,bigg.metabolite:fpram,MNXM1094916,2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine
227928,bigg.metabolite:ppi,MNXM11,Diphosphate
232305,bigg.metabolite:udpacgal,MNXM1100890,UDP-N-acetyl-D-galactosamine
234001,bigg.metabolite:fcl__L,MNXM1101253,L-fuculose
234051,bigg.metabolite:uacmam,MNXM1101258,UDP-N-acetyl-D-mannosamine
234189,bigg.metabolite:agdpcbi,MNXM1101279,Adenosine-GDP-cobinamide
234233,bigg.metabolite:gmp,MNXM1101285,GMP
234273,bigg.metabolite:2mahmp,MNXM1101289,2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate
234377,bigg.metabolite:kdolipid4,MNXM1101307,KDO-lipid IV(A)
234469,bigg.metabolite:utp,MNXM1101474,UTP
234719,bigg.metabolite:imp,MNXM1101868,IMP
234933,bigg.metabolite:unaga,MNXM1101902,Undecaprenyl diphospho N-acetyl-glucosamine
235123,bigg.metabolite:arbtn_fe3,MNXM1101937,Aerobactin
235128,bigg.metabolite:arbtn,MNXM1101938,Aerobactin minus Fe3
235317,bigg.metabolite:5mta,MNXM1101977,5-Methylthioadenosine
235542,bigg.metabolite:gp4g,MNXM1102064,"P1,P4-Bis(5'-guanosyl) tetraphosphate"
235580,bigg.metabolite:amet,MNXM1102072,S-Adenosyl-L-methionine
235927,bigg.metabolite:udp,MNXM1102128,UDP
236074,bigg.metabolite:mlthf,MNXM1102150,"5,10-Methylenetetrahydrofolate"
236101,bigg.metabolite:xtp,MNXM1102152,XTP
236175,bigg.metabolite:ahcys,MNXM1102167,S-Adenosyl-L-homocysteine
236247,bigg.metabolite:3amp,MNXM1102173,3 AMP
236298,bigg.metabolite:udpgalfur,MNXM1102185,"UDP-D-galacto-1,4-furanose"
236318,bigg.metabolite:3ump,MNXM1102189,3 UMP
236347,bigg.metabolite:cdp,MNXM1102191,CDP
236652,bigg.metabolite:db4p,MNXM1102294,"3,4-dihydroxy-2-butanone 4-phosphate"
236899,bigg.metabolite:10fthf,MNXM1102376,10-Formyltetrahydrofolate
238894,bigg.metabolite:aps,MNXM1103086,Adenosine 5'-phosphosulfate
238967,bigg.metabolite:uri,MNXM1103104,Uridine
239245,bigg.metabolite:r1p,MNXM1103205,Alpha-D-Ribose 1-phosphate
239470,bigg.metabolite:gdp,MNXM1103285,GDP
239534,bigg.metabolite:dnad,MNXM1103300,Deamino-NAD+
239562,bigg.metabolite:cmp,MNXM1103302,CMP
239637,bigg.metabolite:dad_5,MNXM1103313,5'-Deoxyadenosine
239661,bigg.metabolite:3hodcoa,MNXM1103315,(S)-3-Hydroxyoctadecanoyl-CoA
239716,bigg.metabolite:ametam,MNXM1103325,S-Adenosylmethioninamine
239799,bigg.metabolite:ins,MNXM1103335,Inosine
239854,bigg.metabolite:frdp,MNXM1103344,Farnesyl diphosphate
239985,bigg.metabolite:aicar,MNXM1103365,5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide
240176,bigg.metabolite:gsn,MNXM1103400,Guanosine
240327,bigg.metabolite:itp,MNXM1103428,ITP
240364,bigg.metabolite:1ddecg3p,MNXM1103432,1-dodecanoyl-sn-glycerol 3-phosphate
240458,bigg.metabolite:3mop,MNXM1103447,(S)-3-Methyl-2-oxopentanoate
240552,bigg.metabolite:pap,MNXM1103458,"Adenosine 3',5'-bisphosphate"
240968,bigg.metabolite:gtp,MNXM1103553,GTP
241019,bigg.metabolite:orot5p,MNXM1103557,Orotidine 5'-phosphate
241320,bigg.metabolite:hxcoa,MNXM1103616,Hexanoyl-CoA (n-C6:0CoA)
241371,bigg.metabolite:dcamp,MNXM1103622,"N6-(1,2-Dicarboxyethyl)-AMP"
241541,bigg.metabolite:kphphhlipa,MNXM1103668,Kdo-phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA
241698,bigg.metabolite:mococdp,MNXM1103700,Molybdopterin cytosine dinucleotide
241822,bigg.metabolite:adocbi,MNXM1103715,Adenosyl cobinamide
241841,bigg.metabolite:ctp,MNXM1103718,CTP
241928,bigg.metabolite:25drapp,MNXM1103734,"2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate"
242116,bigg.metabolite:xtsn,MNXM1103769,Xanthosine
