BiGG,DEGREE,DEGREE_CENTRALITY,EIGENVECTOR,KATZ,CLOSENESS_CENTRALITY,BETWEENNESS_CENTRALITY,CLUSTCOEF
M_h_c,54,0.05070422535211268,0.08461449158039323,-0.05422398500772622,0.18256287205635469,0.09878216668431643,0
M_atp_c,151,0.14178403755868543,0.6884468033001155,-0.004592619089830271,0.23182913443099915,0.32879558050054714,0
M_nadh_c,18,0.016901408450704224,4.273587285563232e-25,-0.013285395827790838,0.01841525342531379,0.0007642345299869391,0
M_for_c,4,0.003755868544600939,1.1927152769196634e-25,-0.006482805514605459,0.013467871908065308,0.00028063115535317167,0
M_grdp_c,1,0.0009389671361502347,2.2908920894108792e-07,-0.004263977587594373,0.07442516071894076,0.0,0
M_thf_c,3,0.002816901408450704,2.8448210305529987e-06,-0.005177787641525254,0.08453096006882159,0.0023315330579971056,0
M_btal_c,1,0.0009389671361502347,0.01438509265607967,0.06681245694368335,0.15581094797994072,0.0,0
M_h2o_c,107,0.10046948356807511,0.17863143560001074,0.7055865576712519,0.20782662303789065,0.21874757315824772,0
M_dtbt_c,1,0.0009389671361502347,1.7876133668881682e-08,-0.004255065681782102,0.06641328496046214,0.0,0
M_methf_c,3,0.002816901408450704,2.2201744565757637e-07,-0.005088668583402544,0.07434448303794462,0.0023315330579971056,0
M_dca_c,1,0.0009389671361502347,1.4539185281081203e-50,-0.004162443137157608,0.0009389671361502347,0.0,0
M_12dgr120_p,1,0.0009389671361502347,1.4539185281081203e-50,-0.004162443137157608,0.0009389671361502347,0.0,0
M_mana_c,2,0.0018779342723004694,0.014479592508052577,0.06707372500374267,0.15604729374858686,0.002329768082177274,0
M_acg5sa_c,2,0.0018779342723004694,0.001173577325509395,0.0025273922877472655,0.1251510686177079,0.0034893571958064173,0
M_pa120_c,2,0.0018779342723004694,0.01447960066553143,0.06706519617245793,0.1562843576205938,0.004645416357795898,0
M_no2_c,1,0.0009389671361502347,1.4539185281081203e-50,-0.004162443137157608,0.0009389671361502347,0.0,0
M_12dgr140_p,1,0.0009389671361502347,1.4539185281081203e-50,-0.004162443137157608,0.0009389671361502347,0.0,0
M_hdca_c,1,0.0009389671361502347,0.01438509265607967,0.06681245694368321,0.15581094797994072,0.0,0
M_oxur_c,1,0.0009389671361502347,8.352462115061496e-44,-0.004209212161170615,0.0014084507042253522,0.0,0
M_pa140_c,2,0.0018779342723004694,1.3514567591915336e-43,-0.0046301333772876775,0.0021126760563380284,3.5299516396625366e-06,0
M_5fthf_c,1,0.0009389671361502347,1.4539185281081203e-50,-0.004162443137157608,0.0009389671361502347,0.0,0
M_12dgr141_p,1,0.0009389671361502347,1.4539185281081203e-50,-0.004162443137157608,0.0009389671361502347,0.0,0
M_acon_C_c,1,0.0009389671361502347,0.01438509265607967,0.0668124569436832,0.15581094797994072,0.0,0
M_cur_c,1,0.0009389671361502347,0.0011658173901879212,0.0029646938090166336,0.12469597382273438,0.0,0
M_pa141_c,2,0.0018779342723004694,0.014478975754478096,0.0671089263245848,0.1559290313054276,0.0011666490169084684,0
M_dcacoa_c,2,0.0018779342723004694,1.3514567591915336e-43,-0.0046301333772876775,0.0021126760563380284,3.5299516396625366e-06,0
M_12dgr160_p,1,0.0009389671361502347,8.352462115061496e-44,-0.004209212161170615,0.0014084507042253522,0.0,0
M_dhcholn_c,1,0.0009389671361502347,0.01438509265607967,0.06681245694368323,0.15581094797994072,0.0,0
M_f_c,1,0.0009389671361502347,0.004492961488178588,-0.004208833228974076,0.13295531942327093,0.0,0
M_pa160_c,2,0.0018779342723004694,0.05579336953849205,-0.0046263440553222885,0.16906192013764318,0.0011666490169084684,0
M_glu5sa_c,2,0.0018779342723004694,0.014479592508052577,0.06707372500374262,0.15604729374858686,0.002329768082177274,0
M_lgt__S_c,1,0.0009389671361502347,8.255938585362749e-46,-0.004204917046720441,0.0012519561815336462,0.0,0
M_pa161_c,2,0.0018779342723004694,1.1675660317539343e-45,-0.004587182232785936,0.0018779342723004694,1.7649758198312683e-06,0
M_mercpeth_c,1,0.0009389671361502347,1.4539185281081203e-50,-0.004162443137157608,0.0009389671361502347,0.0,0
M_12dgr161_p,1,0.0009389671361502347,1.4539185281081203e-50,-0.004162443137157608,0.0009389671361502347,0.0,0
