,DEGREE
M_10fthf_c,1
M_12dgr120_c,1
M_12dgr120_p,1
M_12dgr140_c,1
M_12dgr140_p,1
M_12dgr141_c,1
M_12dgr141_p,1
M_12dgr160_c,1
M_12dgr160_p,1
M_12dgr161_c,1
M_12dgr161_p,1
M_12dgr180_c,1
M_12dgr180_p,1
M_12dgr181_c,1
M_12dgr181_p,1
M_12ppd__R_c,1
M_12ppd__R_p,1
M_12ppd__S_c,1
M_12ppd__S_p,1
M_13dpg_c,1
M_13ppd_c,1
M_14dhncoa_c,1
M_14glucan_c,1
M_14glucan_p,1
M_15dap_c,2
M_1agpe120_c,1
M_1agpe140_c,1
M_1agpe141_c,1
M_1agpe160_c,1
M_1agpe161_c,1
M_1agpe180_c,1
M_1agpe181_c,1
M_1agpg120_c,1
M_1agpg140_c,1
M_1agpg141_c,1
M_1agpg160_c,1
M_1agpg161_c,1
M_1agpg180_c,1
M_1agpg181_c,1
M_1ddecg3p_c,1
M_1hdecg3p_c,1
M_1odec11eg3p_c,1
M_1odecg3p_c,1
M_1pyr5c_c,1
M_1tdec7eg3p_c,1
M_1tdecg3p_c,1
M_23camp_c,1
M_23ccmp_c,1
M_23cgmp_c,1
M_23cump_c,1
M_23dappa_c,1
M_23dappa_p,1
M_23ddhb_c,2
M_23dhacoa_c,1
M_23dhb_c,2
M_23dhba_c,1
M_23dhbzs_c,2
M_23dhdp_c,1
M_23dhmb_c,2
M_23dhmp_c,2
M_23doguln_c,2
M_23doguln_p,1
M_25aics_c,1
M_25dkglcn_c,3
M_25drapp_c,2
M_26dap_LL_c,2
M_26dap__M_c,2
M_26dap__M_p,2
M_2agpe120_c,1
M_2agpe120_p,1
M_2agpe140_c,1
M_2agpe140_p,1
M_2agpe141_c,1
M_2agpe141_p,1
M_2agpe160_c,1
M_2agpe160_p,1
M_2agpe180_c,1
M_2agpe180_p,1
M_2agpe181_c,1
M_2agpe181_p,1
M_2agpg140_c,1
M_2agpg140_p,1
M_2agpg141_c,1
M_2agpg141_p,1
M_2agpg160_c,1
M_2agpg160_p,1
M_2agpg181_c,1
M_2agpg181_p,1
M_2ahbut_c,2
M_2amsa_c,1
M_2aobut_c,2
M_2cpr5p_c,2
M_2dda7p_c,2
M_2ddg6p_c,1
M_2ddglcn_c,3
M_2ddglcn_p,1
M_2dglc_c,1
M_2dglc_p,1
M_2dh3dgal6p_c,1
M_2dh3dgal_c,3
M_2dhp_c,1
M_2dmmq8_c,7
M_2dmmql8_c,6
M_2doxg6p_c,2
M_2dr1p_c,2
M_2dr5p_c,2
M_2fe2s_c,1
M_2h3oppan_c,1
M_2hdecg3p_c,1
M_2hdecg3p_p,1
M_2ippm_c,2
M_2mahmp_c,2
M_2mcacn_c,1
M_2mcit_c,2
M_2me4p_c,2
M_2mecdp_c,1
M_2obut_c,2
M_2odecg3p_c,1
M_2odecg3p_p,1
M_2ohph_c,2
M_2ombzl_c,2
M_2omhmbl_c,1
M_2ommbl_c,3
M_2omph_c,2
M_2oph_c,3
M_2p4c2me_c,2
M_2pg_c,2
M_2pglyc_c,1
M_2sephchc_c,2
M_2shchc_c,1
M_2tpr3dpcoa_c,1
M_34dhpac_c,1
M_34dhpha_c,1
