source,target
M_4mop_c,M_leu__L_c
M_glu__L_c,M_leu__L_c
M_atp_c,M_glutrna_c
M_glu__L_c,M_glutrna_c
M_trnaglu_c,M_glutrna_c
M_adp_c,M_trdox_c
M_trdrd_c,M_trdox_c
M_cdp_c,M_trdox_c
M_trdrd_c,M_trdox_c
M_trdrd_c,M_trdox_c
M_udp_c,M_trdox_c
M_glutrna_c,M_trnaglu_c
M_h_c,M_trnaglu_c
M_nadph_c,M_trnaglu_c
M_acACP_c,M_ACP_c
M_acACP_c,M_actACP_c
M_h_c,M_ACP_c
M_h_c,M_actACP_c
M_malACP_c,M_ACP_c
M_malACP_c,M_actACP_c
M_ddcaACP_c,M_ACP_c
M_ddcaACP_c,M_kdo2lipid4L_c
M_kdo2lipid4_c,M_ACP_c
M_kdo2lipid4_c,M_kdo2lipid4L_c
M_kdo2lipid4L_c,M_ACP_c
M_myrsACP_c,M_ACP_c
M_hdeACP_c,M_ACP_c
M_kdo2lipid4_c,M_ACP_c
M_kdo2lipid4p_c,M_ACP_c
M_myrsACP_c,M_ACP_c
M_h_c,M_acACP_c
M_malACP_c,M_acACP_c
M_ACP_c,M_myrsACP_c
M_atp_c,M_myrsACP_c
M_ttdca_c,M_myrsACP_c
M_bbtcoa_c,M_gbbtn_c
M_crn_c,M_gbbtn_c
M_crn_c,M_ctbt_c
M_ctbtcoa_c,M_ctbt_c
M_ACP_c,M_malACP_c
M_malcoa_c,M_malACP_c
M_h_c,M_trdrd_c
M_nadph_c,M_trdrd_c
M_trdox_c,M_trdrd_c
M_25dkglcn_c,M_2dhguln_c
M_h_c,M_2dhguln_c
M_nadph_c,M_2dhguln_c
M_ACP_c,M_tdeACP_c
M_atp_c,M_tdeACP_c
M_ttdcea_c,M_tdeACP_c
M_apoACP_c,M_ACP_c
M_coa_c,M_ACP_c
M_arab__L_c,M_rbl__L_c
M_ACP_c,M_palmACP_c
M_atp_c,M_palmACP_c
M_hdca_c,M_palmACP_c
M_3hmrsACP_c,M_ACP_c
M_u3hga_c,M_ACP_c
M_ACP_c,M_hdeACP_c
M_atp_c,M_hdeACP_c
M_hdcea_c,M_hdeACP_c
M_3hmrsACP_c,M_ACP_c
M_uacgam_c,M_ACP_c
M_paps_c,M_trdox_c
M_trdrd_c,M_trdox_c
M_3php_c,M_pser__L_c
M_glu__L_c,M_pser__L_c
M_ACP_c,M_acACP_c
M_accoa_c,M_acACP_c
M_26dap__M_e,M_26dap__M_p
M_3hcinnm_e,M_3hcinnm_p
M_3hpppn_e,M_3hpppn_p
M_ac_e,M_ac_p
M_acald_e,M_acald_p
M_acmana_e,M_acmana_p
M_acmum_e,M_acmum_p
M_fum_p,M_succ_p
M_succ_c,M_succ_p
M_succ_c,M_succ_p
M_tartr__L_p,M_succ_p
M_glu__L_e,M_glu__L_p
M_gly_e,M_gly_p
M_glyald_e,M_glyald_p
