Chemical Name,InChI Code
"PMF","No result"
"H(+)","No result"
"NADH","InChI=1S/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1"
"(2E)-geranyl diphosphate","No result"
"butanal","InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3
InChI=1S/3C4H8O/c3*1-2-3-4-5/h3*4H,2-3H2,1H3
InChI=1S/C4H6O/c1-2-3-4-5/h1,4H,2-3H2
InChI=1S/C4H7O/c1-2-3-4-5/h3-4H,2H2,1H3
InChI=1S/4C4H8O/c4*1-2-3-4-5/h4*4H,2-3H2,1H3"
"(4R,5S)-dethiobiotin","No result"
"decanoate","InChI=1S/C10H20O2/c1-2-3-4-5-6-7-8-9-10(11)12/h2-9H2,1H3,(H,11,12)/p-1"
"D-mannonate","InChI=1S/C6H12O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-5,7-11H,1H2,(H,12,13)/p-1/t2-,3-,4+,5+/m1/s1"
"N-acetyl-L-glutamate 5-semialdehyde","No result"
"nitrite","InChI=1S/HNO2/c2-1-3/h(H,2,3)/p-1
InChI=1S/2HNO2/c2*2-1-3/h2*(H,2,3)/p-2"
"hexadecanoate","InChI=1S/3C16H32O2/c3*1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h3*2-15H2,1H3,(H,17,18)/p-3
InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)/p-1"
"N-carbamoyl-2-oxoglycine","No result"
"1,4-dihydroxy-2-naphthoyl-CoA","No result"
"2-dehydro-3-deoxy-D-arabinonate","InChI=1S/C5H8O5/c6-2-3(7)1-4(8)5(9)10/h3,6-7H,1-2H2,(H,9,10)/p-1/t3-/m0/s1"
"2-hydroxycyclohepta-1,4,6-triene-1-carboxylate","No result"
"2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA","No result"
"3,4-dihydroxyphenylacetyl-CoA","No result"
"3-Hydroxybenzoate","InChI=1S/C7H6O3/c8-6-3-1-2-5(4-6)7(9)10/h1-4,8H,(H,9,10)"
"3-hydroxybenzoyl-CoA","InChI=1S/C28H40N7O18P3S/c1-28(2,22(39)25(40)31-7-6-18(37)30-8-9-57-27(41)15-4-3-5-16(36)10-15)12-50-56(47,48)53-55(45,46)49-11-17-21(52-54(42,43)44)20(38)26(51-17)35-14-34-19-23(29)32-13-33-24(19)35/h3-5,10,13-14,17,20-22,26,36,38-39H,6-9,11-12H2,1-2H3,(H,30,37)(H,31,40)(H,45,46)(H,47,48)(H2,29,32,33)(H2,42,43,44)/p-4"
"4-aminobenzoyl-glutamate","InChI=1S/C12H14N2O5/c13-8-3-1-7(2-4-8)11(17)14-9(12(18)19)5-6-10(15)16/h1-4,9H,5-6,13H2,(H,14,17)(H,15,16)(H,18,19)/p-2"
"5-formyltetrahydrofolate","No result"
"Phenylhydantoin","No result"
"Phenylureidoacetic acid","No result"
"2-N-acetamidomethylphosphonate","InChI=1S/C3H8NO4P/c1-3(5)4-2-9(6,7)8/h2H2,1H3,(H,4,5)(H2,6,7,8)/p-1"
"N-Acetylmethionine","InChI=1S/C7H13NO3S/c1-5(9)8-6(7(10)11)3-4-12-2/h6H,3-4H2,1-2H3,(H,8,9)(H,10,11)/t6-/m0/s1"
"cis-aconitate","No result"
"Aminomethylphosphonate","No result"
"Cesium ion","No result"
"curcumin","InChI=1S/C21H20O6/c1-26-20-11-14(5-9-18(20)24)3-7-16(22)13-17(23)8-4-15-6-10-19(25)21(12-15)27-2/h3-13,22,24-25H,1-2H3/b7-3+,8-4+,16-13-"
"Carboxy-S-adenosyl-L-methionine","No result"
"decanoyl-CoA","No result"
"3alpha,12alpha-dihydroxy-7-oxo-5beta-cholanate","No result"
"Dihydrocurcumin","InChI=1S/C21H22O6/c1-26-20-11-14(5-9-18(20)24)3-7-16(22)13-17(23)8-4-15-6-10-19(25)21(12-15)27-2/h3,5-7,9-12,24-25H,4,8,13H2,1-2H3/b7-3+"
"2,3-Dihydroxypropane-1-sulfonate","No result"
"3-hydroxy-5-phosphonooxypentane-2,4-dione","InChI=1S/C5H9O7P/c1-3(6)5(8)4(7)2-12-13(9,10)11/h5,8H,2H2,1H3,(H2,9,10,11)/p-2"
"(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione","No result"
"2,5-Diketo-3-deoxy-D-gluconate","No result"
"4-Deoxy-L-threo-5-hexosulose uronate","No result"
"2-hydroxyethyldisulfide","InChI=1S/C4H10O2S2/c5-1-3-7-8-4-2-6/h5-6H,1-4H2"
"D-erythrose","InChI=1S/C4H8O4/c5-1-3(7)4(8)2-6/h1,3-4,6-8H,2H2/t3-,4+/m0/s1
InChI=1S/C4H8O4/c5-2-1-8-4(7)3(2)6/h2-7H,1H2/t2-,3-,4?/m1/s1"
"fluoride","InChI=1S/FH/h1H/p-1
InChI=1S/4FH/h4*1H/p-4
InChI=1S/6FH/h6*1H/p-6
InChI=1S/5FH/h5*1H/p-5
InChI=1S/2FH/h2*1H/p-2"
"L-glutamate 5-semialdehyde","No result"
"GMP-N-?-(N-?-acetyl lysine methyl ester) 5'-phosphoramidate","No result"
"Isoprimeverose","InChI=1S/C11H20O10/c12-3-1-19-11(9(17)5(3)13)20-2-4-6(14)7(15)8(16)10(18)21-4/h3-18H,1-2H2"
"(R)-S-lactoylglutathione","No result"
"2-dehydro-3-deoxy-L-rhamnonate","InChI=1S/C6H10O5/c1-3(7)4(8)2-5(9)6(10)11/h3-4,7-8H,2H2,1H3,(H,10,11)/p-1/t3-,4+/m0/s1"
"alpha-maltohexaose","No result"
"N-monoacetylchitobiose 6'-phosphate","No result"
"Methylphosphonic acid","No result"
"mercaptoethanol","No result"
"1-O-methyl-Beta-D-glucuronate","No result"
"Methanetelluronate","No result"
"(R)-NADHX","No result"
"Adenosine 5'-(3-{5-[(2S)-5-carbamoyl-2-hydroxy-3,4-dihydropyridin-1-yl]-5-deoxy-?-D-ribofuranosyl} dihydrogen diphosphate)",""
"(R)-NADPHX","No result"
"(S)-NADPHX","No result"
"N-?-acetyl lysine methyl ester","No result"
