BiGG,MNXM,description
M_h_c,MNXM1,H+
M_nadh_c,MNXM10,Nicotinamide adenine dinucleotide - reduced
M_grdp_c,MNXM100,Geranyl diphosphate
M_btal_c,MNXM1017,Butanal
M_dtbt_c,MNXM1020,Dethiobiotin
M_dca_c,MNXM1043,Decanoate (n-C10:0)
M_mana_c,MNXM1045,D-Mannonate
M_acg5sa_c,MNXM1062,N-Acetyl-L-glutamate 5-semialdehyde
M_no2_c,MNXM107,Nitrite
M_hdca_c,MNXM108,Hexadecanoate (n-C16:0)
M_oxur_c,MNXM1088,Oxalureate
M_5fthf_c,MNXM1091982,5-Formyltetrahydrofolate
M_acon_C_c,MNXM1092518,Cis-Aconitate
M_cur_c,MNXM1092739,Curcumin
M_dcacoa_c,MNXM1092836,Decanoyl-CoA (n-C10:0CoA)
M_dhcholn_c,MNXM1092863,"3?,12?-dihydroxy-7-oxo-5?-cholan-24-oate"
M_f_c,MNXM1092965,Fluoride
M_glu5sa_c,MNXM1093051,L-Glutamate 5-semialdehyde
M_lgt__S_c,MNXM1093274,(R)-S-Lactoylglutathione
M_mercpeth_c,MNXM1093356,Mercaptoethanol
M_3oocoa_c,MNXM1093448,3-Oxooctanoyl-CoA
M_occoa_c,MNXM1093479,Octanoyl-CoA (n-C8:0CoA)
M_teo2_c,MNXM1094276,Tellurite
M_tma_c,MNXM1094294,Trimethylamine
M_fgam_c,MNXM1094915,N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide
M_fpram_c,MNXM1094916,2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine
M_ppi_c,MNXM11,Diphosphate
M_udpacgal_c,MNXM1100890,UDP-N-acetyl-D-galactosamine
M_fcl__L_c,MNXM1101253,L-fuculose
M_uacmam_c,MNXM1101258,UDP-N-acetyl-D-mannosamine
M_agdpcbi_c,MNXM1101279,Adenosine-GDP-cobinamide
M_gmp_c,MNXM1101285,GMP
M_2mahmp_c,MNXM1101289,2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate
M_kdolipid4_c,MNXM1101307,KDO-lipid IV(A)
M_utp_c,MNXM1101474,UTP
M_imp_c,MNXM1101868,IMP
M_unaga_c,MNXM1101902,Undecaprenyl diphospho N-acetyl-glucosamine
M_arbtn_fe3_c,MNXM1101937,Aerobactin
M_arbtn_c,MNXM1101938,Aerobactin minus Fe3
M_5mta_c,MNXM1101977,5-Methylthioadenosine
M_gp4g_c,MNXM1102064,"P1,P4-Bis(5'-guanosyl) tetraphosphate"
M_amet_c,MNXM1102072,S-Adenosyl-L-methionine
M_udp_c,MNXM1102128,UDP
M_mlthf_c,MNXM1102150,"5,10-Methylenetetrahydrofolate"
M_xtp_c,MNXM1102152,XTP
M_ahcys_c,MNXM1102167,S-Adenosyl-L-homocysteine
M_3amp_c,MNXM1102173,3 AMP
M_udpgalfur_c,MNXM1102185,"UDP-D-galacto-1,4-furanose"
M_3ump_c,MNXM1102189,3 UMP
M_cdp_c,MNXM1102191,CDP
M_db4p_c,MNXM1102294,"3,4-dihydroxy-2-butanone 4-phosphate"
M_10fthf_c,MNXM1102376,10-Formyltetrahydrofolate
M_aps_c,MNXM1103086,Adenosine 5'-phosphosulfate
M_uri_c,MNXM1103104,Uridine
M_r1p_c,MNXM1103205,Alpha-D-Ribose 1-phosphate
M_gdp_c,MNXM1103285,GDP
M_dnad_c,MNXM1103300,Deamino-NAD+
M_cmp_c,MNXM1103302,CMP
M_dad_5_c,MNXM1103313,5'-Deoxyadenosine
M_3hodcoa_c,MNXM1103315,(S)-3-Hydroxyoctadecanoyl-CoA
M_ametam_c,MNXM1103325,S-Adenosylmethioninamine
M_ins_c,MNXM1103335,Inosine
M_frdp_c,MNXM1103344,Farnesyl diphosphate
M_aicar_c,MNXM1103365,5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide
M_gsn_c,MNXM1103400,Guanosine
M_itp_c,MNXM1103428,ITP
M_1ddecg3p_c,MNXM1103432,1-dodecanoyl-sn-glycerol 3-phosphate
M_3mop_c,MNXM1103447,(S)-3-Methyl-2-oxopentanoate
M_pap_c,MNXM1103458,"Adenosine 3',5'-bisphosphate"
M_gtp_c,MNXM1103553,GTP
M_orot5p_c,MNXM1103557,Orotidine 5'-phosphate
M_hxcoa_c,MNXM1103616,Hexanoyl-CoA (n-C6:0CoA)
M_dcamp_c,MNXM1103622,"N6-(1,2-Dicarboxyethyl)-AMP"
M_kphphhlipa_c,MNXM1103668,Kdo-phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA
M_mococdp_c,MNXM1103700,Molybdopterin cytosine dinucleotide
M_adocbi_c,MNXM1103715,Adenosyl cobinamide
M_ctp_c,MNXM1103718,CTP
M_25drapp_c,MNXM1103734,"2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate"
M_xtsn_c,MNXM1103769,Xanthosine
M_3otdcoa_c,MNXM1103776,3-Oxotetradecanoyl-CoA
M_aacoa_c,MNXM1103802,Acetoacetyl-CoA
M_ap4a_c,MNXM1103833,"P1,P4-Bis(5'-adenosyl) tetraphosphate"
M_alac__S_c,MNXM1103847,(S)-2-Acetolactate
M_glcur1p_c,MNXM1103867,D-Glucuronate 1-phosphate
M_malthx_c,MNXM1103926,Maltohexaose
M_tagdp__D_c,MNXM1103932,"D-Tagatose 1,6-biphosphate"
M_thf_c,MNXM1103936,"5,6,7,8-Tetrahydrofolate"
M_melib_c,MNXM1103964,Melibiose
M_maltpt_c,MNXM1104039,Maltopentaose
M_r5p_c,MNXM1104056,Alpha-D-Ribose 5-phosphate
M_gam6p_c,MNXM1104065,D-Glucosamine 6-phosphate
M_unagamuf_c,MNXM1104103,"Undecaprenyl-diphospho N-acetylglucosamine-N-acetylmannosaminuronate-N-acetamido-4,6-dideoxy-D-galactose"
M_malthp_c,MNXM1104130,Maltoheptaose
M_gdpddman_c,MNXM1104155,GDP-4-dehydro-6-deoxy-D-mannose
M_td2coa_c,MNXM1104173,Trans-Tetradec-2-enoyl-CoA
M_sucr_c,MNXM1104180,Sucrose
M_rml1p_c,MNXM1104186,L-Rhamnulose 1-phosphate
M_gdpmann_c,MNXM1104188,GDP-D-mannose
M_micit_c,MNXM1104204,Methylisocitrate
M_cytd_c,MNXM1104207,Cytidine
M_2ommbl_c,MNXM1104227,"2-Octaprenyl-3-methyl-6-methoxy- 1,4-benzoquinol"
M_accoa_c,MNXM1104266,Acetyl-CoA
M_b2coa_c,MNXM1104270,Crotonoyl-CoA
M_2omhmbl_c,MNXM1104278,"2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol"
M_tdcoa_c,MNXM1104283,Tetradecanoyl-CoA (n-C14:0CoA)
M_btcoa_c,MNXM1104300,Butanoyl-CoA
M_dtdp4d6dm_c,MNXM1104310,DTDP-4-dehydro-6-deoxy-L-mannose
M_malt6p_c,MNXM1104316,Maltose 6'-phosphate
M_hhlipa_c,MNXM1104340,Heptosyl-heptosyl-kdo2-lipidA
M_stcoa_c,MNXM1104352,Stearoyl-CoA (n-C18:0CoA)
M_3hadpcoa_c,MNXM1104364,(3S)-3-Hydroxyadipyl-CoA
M_moco_c,MNXM1104368,Molybdenum cofactor
M_xmp_c,MNXM1104385,Xanthosine 5'-phosphate
M_4ampm_c,MNXM1104391,4-Amino-2-methyl-5-phosphomethylpyrimidine
M_5mthf_c,MNXM1104393,5-Methyltetrahydrofolate
M_preq1_c,MNXM1104395,7-aminomethyl-7-deazaguanine
M_cdpdhdecg_c,MNXM1104403,"CDP-1,2-dihexadecanoylglycerol"
M_lcts_c,MNXM1104432,Lactose
M_ddcacoa_c,MNXM1104435,Dodecanoyl-CoA (n-C12:0CoA)
M_prpp_c,MNXM1104453,5-Phospho-alpha-D-ribose 1-diphosphate
M_sbt6p_c,MNXM1104463,D-Sorbitol 6-phosphate
M_6pgl_c,MNXM1104491,"6-phospho-D-glucono-1,5-lactone"
M_dtdp4d6dg_c,MNXM1104509,DTDP-4-dehydro-6-deoxy-D-glucose
M_allul6p_c,MNXM1104516,Allulose 6-phosphate
M_fprica_c,MNXM1104518,5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide
M_gar_c,MNXM1104522,N1-(5-Phospho-D-ribosyl)glycinamide
M_malttr_c,MNXM1104527,Maltotriose
M_uacgam_c,MNXM1104529,UDP-N-acetyl-D-glucosamine
M_dpcoa_c,MNXM1104543,Dephospho-CoA
M_adprib_c,MNXM1104545,ADPribose
M_pram_c,MNXM1104549,5-Phospho-beta-D-ribosylamine
M_adocbl_c,MNXM1104551,Adenosylcobalamin
M_paps_c,MNXM1104555,3'-Phosphoadenylyl sulfate
M_idp_c,MNXM1104559,IDP
M_phaccoa_c,MNXM1104563,Phenylacetyl-CoA
M_3ohodcoa_c,MNXM1104572,3-Oxooctadecanoyl-CoA
M_mnl_c,MNXM1104590,D-Mannitol
M_maltttr_c,MNXM1104617,Maltotetraose
M_dc2coa_c,MNXM1104631,Trans-Dec-2-enoyl-CoA
M_hdd2coa_c,MNXM1104633,Trans-Hexadec-2-enoyl-CoA
M_25aics_c,MNXM1104647,(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate
M_dd2coa_c,MNXM1104661,Trans-Dodec-2-enoyl-CoA
M_prpncoa_c,MNXM1104673,Propenoyl-CoA
M_alaala_c,MNXM1104679,D-Alanyl-D-alanine
M_3hdcoa_c,MNXM1104681,(S)-3-Hydroxydecanoyl-CoA
M_3odcoa_c,MNXM1104685,3-Oxodecanoyl-CoA
M_3oddcoa_c,MNXM1104695,3-Oxododecanoyl-CoA
M_3ohcoa_c,MNXM1104699,3-Oxohexanoyl-CoA
M_udpg_c,MNXM1104702,UDPglucose
M_3hddcoa_c,MNXM1104711,(S)-3-Hydroxydodecanoyl-CoA
M_3ohdcoa_c,MNXM1104713,3-Oxohexadecanoyl-CoA
M_hx2coa_c,MNXM1104717,Trans-Hex-2-enoyl-CoA
M_3hhcoa_c,MNXM1104721,(S)-3-Hydroxyhexanoyl-CoA
M_3hocoa_c,MNXM1104724,(S)-3-Hydroxyoctanoyl-CoA
M_3htdcoa_c,MNXM1104726,(S)-3-Hydroxytetradecanoyl-CoA
M_kdo2lipid4_c,MNXM1104740,KDO(2)-lipid IV(A)
M_udpgal_c,MNXM1104754,UDPgalactose
M_cbl1_c,MNXM1104756,Cob(I)alamin
M_succoa_c,MNXM1104774,Succinyl-CoA
M_od2coa_c,MNXM1104783,Trans-Octadec-2-enoyl-CoA
M_f1p_c,MNXM1104787,D-Fructose 1-phosphate
M_ump_c,MNXM1104823,UMP
M_sheme_c,MNXM1104857,Siroheme
M_adocbip_c,MNXM1104880,Adenosyl cobinamide phosphate
M_udpglcur_c,MNXM1104890,UDP-D-glucuronate
M_4ahmmp_c,MNXM1104899,4-Amino-5-hydroxymethyl-2-methylpyrimidine
M_gam1p_c,MNXM1104944,D-Glucosamine 1-phosphate
M_glc__D_c,MNXM1105029,D-Glucose
M_dxylnt_c,MNXM1105052,D-Xylonate
M_1pyr5c_c,MNXM1105060,1-Pyrroline-5-carboxylate
M_gam_c,MNXM1105684,D-Glucosamine
M_ala__D_c,MNXM1105731,D-Alanine
M_ala__L_c,MNXM1105732,L-Alanine
M_crn_c,MNXM1105737,L-Carnitine
M_uacmamu_c,MNXM1105744,UDP-N-acetyl-D-mannosaminouronate
M_adn_c,MNXM1105760,Adenosine
M_fadh2_c,MNXM1105762,Flavin adenine dinucleotide reduced
M_glcur_c,MNXM1105765,D-Glucuronate
M_acgam1p_c,MNXM1105798,N-Acetyl-D-glucosamine 1-phosphate
M_acgal1p_c,MNXM1105799,N-Acetyl-D-galactosamine 1-phosphate
M_fru_c,MNXM1105810,D-Fructose
M_man_c,MNXM1105842,D-Mannose
M_man6p_c,MNXM1105857,D-Mannose 6-phosphate
M_g6p_c,MNXM1105858,D-Glucose 6-phosphate
M_acmana_c,MNXM1105881,N-Acetyl-D-mannosamine
M_3hbcoa_c,MNXM1105912,(S)-3-Hydroxybutanoyl-CoA
M_fmn_c,MNXM1105927,FMN
M_acgal_c,MNXM1105933,N-Acetyl-D-galactosamine
M_acgam_c,MNXM1105935,N-Acetyl-D-glucosamine
M_fad_c,MNXM1105936,Flavin adenine dinucleotide oxidized
M_oxadpcoa_c,MNXM1105939,3-Oxoadipyl-CoA
M_inost_c,MNXM1105941,Myo-Inositol
M_dtdpglu_c,MNXM1105949,DTDPglucose
