BiGG,MNXM,Name,description,InChI,InChIKey,SMILES,reference,formula,mass,MolLogP,charge,mass_rank,MolLogP_rank,charge_rank,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,target,PC1,PC2,PC3,PC4,PC5
M_pyr_c,MNXM23,pyruvate,Pyruvate,"InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)/p-1",InChIKey=LCTONWCANYUPML-UHFFFAOYSA-M,CC(=O)C(=O)[O-],chebi:15361,C3H3O3,87.00877,-1.6747,-1.0,70.5,484.0,529.0,9.48148148148148,-1.629629629629629,9.48148148148148,0.9351851851851848,0.3589653619490149,87.054,84.03,87.00876753591001,34,0,0.174698006678422,-0.5417169144416931,0.5417169144416931,0.174698006678422,1.5,1.6666666666666667,1.6666666666666667,16.375308545552915,10.477444848149135,1.8498013860593625,-1.8656941432718408,1.5594979826082132,-2.286068501164697,6.2996012409218265,-0.2992389225459169,3.5677034550432034,72.03910001730776,5.154700538379252,3.2247448713915894,3.2247448713915894,2.6427344100918364,1.3623724356957947,1.3623724356957947,0.8436436964131623,0.8436436964131623,0.2874574785652649,0.2874574785652649,0.0,0.0,-0.8600000000000001,13.609640474436812,5.14,1.5450174870172142,1.4584713375796172,34.58641320890631,9.901064578912528,5.969305287951849,5.783244946364939,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,14.69560176298435,11.75255023431679,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,5.106527394840706,0.0,0.0,0.0,11.75255023431679,9.589074368143644,0.0,6.923737199690624,0.0,0.0,0.0,0.0,57.2,11.75255023431679,14.69560176298435,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.719907407407405,9.238425925925926,0.0,-2.564814814814814,0.0,0.0,0.9398148148148148,0.0,0.3333333333333333,6,0,3,0,0,0,0,0,0,3,0,3,1,0,0,0,0,15.688,1,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_accoa_c,3.5529909496208143,-1.0712422109687498,-0.3161117678070667,2.169674745830624,0.5630130272911346
M_accoa_c,MNXM1104266,acetyl-CoA,Acetyl-CoA,"InChI=1S/C23H38N7O17P3S/c1-12(31)51-7-6-25-14(32)4-5-26-21(35)18(34)23(2,3)9-44-50(41,42)47-49(39,40)43-8-13-17(46-48(36,37)38)16(33)22(45-13)30-11-29-15-19(24)27-10-28-20(15)30/h10-11,13,16-18,22,33-34H,4-9H2,1-3H3,(H,25,32)(H,26,35)(H,39,40)(H,41,42)(H2,24,27,28)(H2,36,37,38)/p-4/t13-,16-,17-,18+,22-/m1/s1",InChIKey=ZSLZBFCDCINBPY-ZSJPKINUSA-J,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],chebi:57288,C23H34N7O17P3S,805.09667,-3.2941999999999974,-4.0,800.0,264.0,89.0,12.5807131687329,-5.820270104666975,12.5807131687329,0.0034704660131457,0.0401690029947255,805.5460000000007,771.2740000000006,805.0966678376403,288,0,0.4807077012465598,-0.8619479510336489,0.8619479510336489,0.4807077012465598,1.1372549019607845,1.803921568627451,2.450980392156863,32.166579494266934,9.872606451126076,2.482128500316475,-2.342527783495528,2.6082473864470304,-2.4514774929084577,8.131038534029958,-0.3465883762299365,1.5930256943616503,1739.5755214951382,38.3632320728199,26.890695648629816,30.39047380255729,23.51709351471486,14.378239646447788,19.8153219228024,11.220434050297998,16.6413362665147,6.681687436907177,10.558195004038014,4.212308582036089,7.4923869500884175,-2.4400000000000013,34567144578.26425,42.9683067116648,17.589923055001428,12.876498185098844,292.7398663899607,69.54389133324943,30.155919955625706,22.808218099523348,0.0,0.0,15.645394246264342,18.40913115528681,24.082032132704285,4.310631369623587,0.0,25.609359348772365,18.216312311641232,31.181094087659343,33.467747514670855,81.10817383779761,69.12248465390759,0.0,19.519035210632985,15.399799934668115,57.83579994372595,37.78979782475996,12.654640149529085,0.0,0.0,25.733545472348546,5.817862777835028,0.0,35.22997631878763,112.90167672331128,41.108417847424896,5.41499046939678,33.41993439273275,22.639449614800423,0.0,11.16387793838399,0.0,381.9300000000001,84.53610317826242,58.48943802923853,0.0,41.607352081155895,5.752853606746789,28.98362474671156,20.771211599071872,0.0,0.0,42.818617882872005,10.470530430962237,61.08286617671962,0.9822268077069932,72.79960344985798,45.18608537017214,4.128663508743143,-1.4869517706881936,0.0,-7.489926487037629,1.3979567070993917,-16.933857095906767,0.6521739130434783,51,6,24,0,1,1,0,2,2,23,5,28,19,0,1,1,3,166.9190999999997,0,2,2,1,0,4,0,0,0,0,1,1,0,0,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,M_cit_c,4.136093289012364,-0.9637666376336744,-0.3044751959125918,2.1174983291903247,0.8566136521742863
M_akg_c,MNXM20,2-oxoglutarate,2-Oxoglutarate,"InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)/p-2",InChIKey=KPGXRSRHYNQIFN-UHFFFAOYSA-L,O=C([O-])CCC(=O)C(=O)[O-],chebi:16810,C5H4O5,144.00697,-3.1644999999999994,-2.0,184.0,279.0,316.5,10.094120370370373,-1.8599537037037035,10.094120370370373,0.5648148148148149,0.3875882761210721,144.08199999999997,140.04999999999998,144.00697038782002,56,0,0.1781445215498479,-0.5501573884046658,0.5501573884046658,0.1781445215498479,1.0,1.5,1.8,16.377437835062263,10.209480919971329,2.0037614162654203,-2.0026269610938003,1.865701387843788,-2.3257809752504044,6.313346000236518,-0.3055013338810717,3.604156821528498,170.87712379549453,8.146264369941973,4.955455014692411,4.955455014692411,4.536581260209188,2.4777275073462053,2.4777275073462053,1.58264228170342,1.58264228170342,0.7838571184786369,0.7838571184786369,0.3176551815399143,0.3176551815399143,-1.39,111.0417522239666,8.609999999999998,3.600317491426832,3.592178163112716,56.27205328993929,19.802129157825057,5.969305287951849,5.783244946364939,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,6.4208216229260096,12.39012691087786,0.0,24.59666634189688,17.72185552226864,0.0,0.0,0.0,12.84164324585202,0.0,0.0,0.0,0.0,10.213054789681411,0.0,0.0,0.0,17.72185552226864,14.383611552215466,0.0,12.84164324585202,0.0,0.0,0.0,0.0,97.33,30.56349876812065,24.59666634189688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.38162037037037,19.2875,0.0,-4.527731481481481,0.0,-1.1413888888888892,0.0,0.0,0.4,10,0,5,0,0,0,0,0,0,5,0,5,4,0,0,0,0,24.254999999999995,2,0,0,0,0,0,0,0,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_succoa_c,-2.900509379333349,-1.1856010904528047,0.2554291773216964,-0.6138255817461448,1.354297163471594
M_oaa_c,MNXM46,oxaloacetate,Oxaloacetate,"InChI=1S/C4H4O5/c5-2(4(8)9)1-3(6)7/h1H2,(H,6,7)(H,8,9)/p-2",InChIKey=KHPXUQMNIQBQEV-UHFFFAOYSA-L,O=C([O-])CC(=O)C(=O)[O-],chebi:16452,C4H2O5,129.99132,-3.5546,-2.0,143.0,237.0,316.5,9.87037037037037,-2.0007407407407403,9.87037037037037,1.1226851851851851,0.2906697169397244,130.05499999999998,128.039,129.99132032382002,50,0,0.1833552633603581,-0.5496764407015479,0.5496764407015479,0.1833552633603581,1.1111111111111112,1.5555555555555556,1.6666666666666667,16.381601571039955,10.284514393824033,2.001296266910087,-1.993635357851248,1.7606826257803394,-2.35848795342967,6.341595189449756,-0.3091364697918433,3.788427600543414,158.34093004940024,7.439157588755425,4.248348233505863,4.248348233505863,4.036581260209188,1.9777275073462053,1.9777275073462053,1.2594189770000568,1.2594189770000568,0.5325655992251679,0.5325655992251679,0.2032631323962854,0.2032631323962854,-1.39,60.47184355343589,7.61,2.806214595296775,3.2151437216338885,49.90711117554269,19.802129157825057,5.969305287951849,5.783244946364939,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,0.0,5.969305287951849,6.4208216229260096,24.59666634189688,17.72185552226864,0.0,0.0,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,10.213054789681411,0.0,0.0,0.0,17.72185552226864,14.383611552215466,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,97.33,24.142677145194646,24.59666634189688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.844490740740746,18.97412037037037,0.0,-5.195925925925925,0.0,-1.1226851851851851,0.0,0.0,0.25,9,0,5,0,0,0,0,0,0,5,0,5,3,0,0,0,0,19.638,2,0,0,0,0,0,0,0,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_cit_c,-3.569842822597604,-0.545456600478687,0.1679954985930549,-0.7476249960200694,1.028595218074648
M_succ_c,MNXM25,succinate,Succinate,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)/p-2",InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,O=C([O-])CCC(=O)[O-],chebi:30031,C4H4O4,116.01206,-2.733599999999999,-2.0,120.0,347.0,316.5,9.501527777777778,-1.3664814814814814,9.501527777777778,0.4699074074074074,0.4004895823881808,116.07199999999996,112.03999999999998,116.01205576782002,46,0,0.0417576436034463,-0.5501587540194414,0.5501587540194414,0.0417576436034463,1.0,1.25,1.375,16.37247265622863,10.314273883220366,1.8466545579080755,-1.9993227482080045,1.8092093834967489,-2.2732843660607376,5.722776665651285,-0.3146459350713415,3.1818458670936187,92.60593781761293,6.568914100752346,4.047206724228547,4.047206724228547,3.625897657686229,2.0236033621142737,2.0236033621142737,1.2440169358562922,1.2440169358562922,0.5332482904638629,0.5332482904638629,0.2041241452319314,0.2041241452319314,-1.06,40.339203954130696,6.94,3.009687481832753,4.939999999999998,45.74558907549892,19.802129157825057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.84164324585202,11.9386105759037,0.0,19.802129157825057,11.9386105759037,0.0,0.0,0.0,12.84164324585202,0.0,0.0,0.0,0.0,10.213054789681411,0.0,0.0,0.0,11.9386105759037,9.589074368143644,0.0,12.84164324585202,0.0,0.0,0.0,0.0,80.25999999999999,24.780253821755714,19.802129157825057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.003055555555555,19.003055555555555,0.0,-2.7329629629629624,0.0,-0.9398148148148148,0.0,0.0,0.5,8,0,4,0,0,0,0,0,0,4,0,4,3,0,0,0,0,19.248,2,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_fum_c,-3.373730530173366,-0.4032410571842423,0.0737943726073415,-0.505208632567077,0.673365450515397
M_pep_c,MNXM73,phosphoenolpyruvate,Phosphoenolpyruvate,"InChI=1S/C3H5O6P/c1-2(3(4)5)9-10(6,7)8/h1H2,(H,4,5)(H2,6,7,8)/p-3",InChIKey=DTBNBXWJWCWCIK-UHFFFAOYSA-K,C=C(OP(=O)([O-])[O-])C(=O)[O-],chebi:58702,C3H2O6P,164.96055,-2.904699999999999,-3.0,241.0,319.0,172.5,9.644166666666669,-5.296095679012346,9.644166666666669,1.214506172839506,0.2514638817893809,165.01699999999997,163.00099999999998,164.96054515373004,58,0,0.139368966902894,-0.7802406759257141,0.7802406759257141,0.139368966902894,1.5,1.9,2.0,31.204461322740915,10.594669262246663,1.9613993313617404,-2.2945702589767025,2.270805516342751,-2.271507905279076,7.4292642802674145,-0.3421261162894243,4.067302180177984,201.0384684210058,8.361807319565798,4.603810119469684,5.4982373104696,4.327185821959347,1.9462225696292896,3.4068160563097334,1.2491345021927596,2.326135879027732,0.4496675684012834,0.8936609039423706,0.1722264405667007,0.5166793217001023,-0.8400000000000001,75.1914571177504,9.16,2.829104916897508,4.080319108035371,55.98691148505228,28.776683231060627,19.551167282740195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.578935683598497,0.0,0.0,0.0,28.776683231060627,13.79200241108402,0.0,0.0,0.0,0.0,0.0,12.338100555254671,0.0,0.0,14.893350600345656,0.0,0.0,7.822697123132171,5.969305287951849,13.883332630714968,0.0,0.0,12.338100555254671,0.0,0.0,0.0,112.55,19.551167282740195,24.25293606934881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.102682845310316,0.0,12.931203703703703,0.0,28.93078703703704,9.642453703703705,0.0,-3.152538580246913,0.0,0.0,2.583078703703704,-5.296095679012346,0.0,10,0,6,0,0,0,0,0,0,6,0,7,3,0,0,0,0,22.8385,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_pyr_c,-4.092546108593954,-0.0495345431247979,0.0791613138638444,-0.8577773222941653,0.5344948442858511
M_succoa_c,MNXM1104774,succinyl-CoA,Succinyl-CoA,"InChI=1S/C25H40N7O19P3S/c1-25(2,20(38)23(39)28-6-5-14(33)27-7-8-55-16(36)4-3-15(34)35)10-48-54(45,46)51-53(43,44)47-9-13-19(50-52(40,41)42)18(37)24(49-13)32-12-31-17-21(26)29-11-30-22(17)32/h11-13,18-20,24,37-38H,3-10H2,1-2H3,(H,27,33)(H,28,39)(H,34,35)(H,43,44)(H,45,46)(H2,26,29,30)(H2,40,41,42)/p-5/t13-,18-,19-,20+,24-/m1/s1",InChIKey=VNOYUJKHFWYWIR-ITIYDSSPSA-I,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)[O-],chebi:57292,C25H35N7O19P3S,862.09487,-4.783999999999996,-5.0,826.5,121.0,34.0,12.607941936663586,-5.838781353842892,12.607941936663586,0.0160293598665448,0.0320851272473061,862.5740000000009,827.2940000000007,862.0948706895502,310,0,0.4807077012465598,-0.8619479510336412,0.8619479510336412,0.4807077012465598,1.0545454545454545,1.7272727272727273,2.381818181818182,32.166580401581754,9.87260632678014,2.482315419870784,-2.342528369147776,2.608337192981232,-2.451477663929876,8.13173499328483,-0.3466465164473116,1.5367857245419971,1876.0577416239064,41.35479590438263,28.62140579193064,32.12118394585811,25.41094036483221,15.493594718098198,20.930676994452813,11.972869362357097,17.27419842270475,7.172660232689599,11.16874095568949,4.45870822194946,7.925399651980636,-2.970000000000002,217138736821.6763,46.41250697295999,19.45337220394053,14.484066522227955,314.4255064709937,79.44495591216196,30.155919955625706,22.808218099523348,0.0,0.0,15.645394246264342,18.40913115528681,24.082032132704285,4.310631369623587,0.0,25.609359348772365,24.63713393456724,36.64748379884658,33.467747514670855,91.00923841671012,75.09178994185943,0.0,19.519035210632985,15.399799934668115,63.75370598988735,37.78979782475996,12.654640149529085,0.0,0.0,30.840072867189253,5.817862777835028,0.0,35.22997631878763,118.87098201126312,45.90295503149672,5.41499046939678,39.33784043889415,22.639449614800423,0.0,11.16387793838399,0.0,422.06000000000006,108.5862634252386,68.39050260815105,0.0,42.12099397473041,0.0,28.98362474671156,13.847474399381248,0.0,0.0,42.818617882872005,10.470530430962237,61.128396646426495,0.7782453262255116,83.78672121159003,55.51389746173926,4.059258415797544,-3.2146705795833075,0.0,-8.3948434288072,-0.3032516206151856,-17.02042009943981,0.64,55,6,26,0,1,1,0,2,2,25,5,30,22,0,1,1,3,175.4860999999997,1,2,2,1,0,4,0,0,1,1,2,2,0,0,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,M_succ_c,-3.758400925264014,-0.265575596780281,0.1970324643926196,-0.8412809722485465,0.6989749824388988
M_fum_c,MNXM737340,fumarate,Fumarate,"InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/p-2/b2-1+",InChIKey=VZCYOOQTPOCHFL-OWOJBTEDSA-L,O=C([O-])/C=C/C(=O)[O-],chebi:29806,C4H2O4,113.99641,-2.9576,-2.0,114.0,313.0,316.5,9.414722222222222,-1.5470370370370372,9.414722222222222,0.3842592592592591,0.3591018246926432,114.05599999999995,112.03999999999998,113.99640570382002,44,0,0.0642960567017714,-0.5454662539365716,0.5454662539365716,0.0642960567017714,1.0,1.25,1.375,16.37046114258238,10.498585341861371,1.704908139236488,-1.902439984351413,1.6376499243575844,-2.2260692838021856,5.87160408699949,-0.301160664044511,3.668626461933803,118.97373660251154,6.568914100752346,3.787693700234704,3.787693700234704,3.625897657686229,1.7271801834506857,1.7271801834506857,0.971404520791032,0.971404520791032,0.3554988603092421,0.3554988603092421,0.1360827634879544,0.1360827634879544,-1.3199999999999998,40.339203954130696,6.68,2.7879637132919783,4.679999999999999,45.05598604331467,19.802129157825057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.152040213667762,0.0,11.9386105759037,19.802129157825057,11.9386105759037,0.0,0.0,0.0,0.0,0.0,12.152040213667762,0.0,0.0,10.213054789681411,0.0,0.0,0.0,11.9386105759037,9.589074368143644,0.0,0.0,12.152040213667762,0.0,0.0,0.0,80.25999999999999,11.9386105759037,19.802129157825057,0.0,0.0,12.152040213667762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.829444444444444,18.829444444444444,0.0,-3.094074074074074,0.0,0.7685185185185184,0.0,0.0,0.0,8,0,4,0,0,0,0,0,0,4,0,4,2,0,0,0,0,19.154,2,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_mal__D_c,-3.5143510602619465,-0.303275078814657,0.0854990209630691,-0.8148918601512462,0.8092433380911035
M_mal__D_c,MNXM1608,(R)-malate,D-Malate,"InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)/p-2/t2-/m1/s1",InChIKey=BJEPYKJPYRNKOW-UWTATZPHSA-L,O=C([O-])C[C@@H](O)C(=O)[O-],chebi:15588,C4H4O5,132.00697,-3.7628,-2.0,152.5,209.5,316.5,9.582546296296297,-1.962962962962964,9.582546296296297,0.9282407407407408,0.4245649191060507,132.07099999999997,128.039,132.00697038782002,52,0,0.0985100833640648,-0.5500540061453582,0.5500540061453582,0.0985100833640648,1.4444444444444444,1.8888888888888888,2.0,16.404467388022184,10.253331092668164,2.025655557136025,-2.099885967901386,1.8501130926618656,-2.3934814797543167,5.764883849329206,-0.323299001625552,3.632432151939845,128.919684538544,7.439157588755425,4.364663807731583,4.364663807731583,4.036581260209188,2.125172286326837,2.125172286326837,1.4109659828294945,1.4109659828294945,0.6320917542057729,0.6320917542057729,0.2412022659166596,0.2412022659166596,-1.1,60.47184355343589,7.899999999999999,3.032306526953668,3.479710144927536,50.53982282769493,24.90865655266576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.39012691087786,12.073271675700152,24.90865655266576,11.9386105759037,0.0,0.0,0.0,12.524788010674312,0.0,0.0,0.0,0.0,10.213054789681411,0.0,0.0,0.0,23.149104358492707,9.589074368143644,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,100.49,24.46339858657801,19.802129157825057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.106527394840706,0.0,0.0,19.13449074074074,27.348472222222224,0.0,-3.425092592592592,0.0,-2.891203703703704,0.0,0.0,0.5,9,1,5,0,0,0,0,0,0,5,1,5,3,0,0,0,0,20.637799999999995,2,1,1,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_oaa_c,-3.010374247593208,-1.4057722742963084,0.0692595171008825,-0.0596146542900641,0.4964057698489945
M_cit_c,MNXM1107753,citrate,Citrate,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)/p-3",InChIKey=KRKNYBCHXYNGOX-UHFFFAOYSA-K,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-],chebi:16947,C6H5O7,189.00517,-5.252599999999999,-3.0,310.5,87.0,172.5,10.148888888888887,-2.9745370370370363,10.148888888888887,1.357824074074074,0.4549040185598899,189.099,184.059,189.00517323973003,74,0,0.114229629574949,-0.5500418155619469,0.5500418155619469,0.114229629574949,1.0,1.3076923076923077,1.4615384615384617,16.41749019774941,9.958820312219048,2.286223680897696,-2.291787960207118,2.12598741063189,-2.5367482442960645,5.855262316964366,-0.339487853050479,4.619312134964085,227.36732222044088,10.646264369941973,6.310916900656232,6.310916900656232,5.776380111846841,3.1125652315146635,3.1125652315146635,2.416612360499933,2.416612360499933,1.2535279404122095,1.2535279404122095,0.6843987247003253,0.6843987247003253,-1.63,333.9634881964944,11.37,3.853986625290123,3.5181644518634423,72.22546290872793,34.809721131578286,5.601050810983688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.780253821755714,5.969305287951849,34.809721131578286,17.90791586385555,0.0,0.0,0.0,18.442694056835705,0.0,0.0,0.0,0.0,15.319582184522115,0.0,0.0,0.0,28.61549406967994,14.383611552215466,0.0,12.84164324585202,0.0,0.0,0.0,0.0,140.61999999999998,36.35060992069125,29.703193736737585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.106527394840706,0.0,0.0,29.99949074074074,38.92513888888889,-2.9745370370370363,-5.984444444444444,0.0,-2.7156481481481483,0.0,0.0,0.5,13,1,7,0,0,0,0,0,0,7,1,7,5,0,0,0,0,29.204799999999995,3,1,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_icit_c,-3.894409131149954,0.171521899944883,0.1636658570565188,-1.376833074573823,0.6271544896468305
