BiGG,DEGREE
M_13dpg_c,1
M_2dr5p_c,1
M_2pg_c,2
M_3pg_c,2
M_4h2opntn_c,1
M_6pgc_c,1
M_6pgl_c,2
M_ac_c,1
M_ac_p,2
M_acac_c,1
M_acald_c,3
M_acald_p,1
M_accoa_c,5
M_acgam6p_c,1
M_acon_C_c,1
M_acorn_c,1
M_acser_c,1
M_actp_c,1
M_adp_c,1
M_akg_e,1
M_amp_c,1
M_athr__L_c,1
M_atp_c,5
M_but_c,1
M_chtbs6p_c,1
M_cit_c,2
M_co2_c,1
M_coa_c,1
M_dhap_c,1
M_e4p_c,1
M_etha_c,1
M_ethso3_c,1
M_etoh_c,2
M_etoh_e,1
M_fmnh2_c,1
M_for_c,1
M_fru_e,1
M_fum_c,1
M_g3p_c,2
M_g6p_c,1
M_glc__D_e,1
M_glcn_c,1
M_gln__L_c,1
M_glu__L_c,1
M_glx_c,1
M_glyc__R_c,2
M_h2o_c,8
M_h2s_c,1
M_h_c,2
M_h_p,1
M_hxa_c,1
M_icit_c,1
M_lac__D_c,1
M_mal__L_c,1
M_na1_p,1
M_nad_c,3
M_nadh_c,1
M_nadp_c,3
M_nadph_c,1
M_nh4_c,1
M_o2_c,3
M_oaa_c,1
M_oxa_c,1
M_pep_c,1
M_pi_c,3
M_pyr_c,0
M_q8_c,0
M_q8h2_c,1
M_ru5p__D_c,1
M_s7p_c,1
M_succ_c,1
M_succoa_c,1
M_u3aga_c,1
M_xu5p__D_c,1
