BiGG,Unnamed: 0,#ID,name,reference,formula,mass,MolLogP,charge,mass_rank,MolLogP_rank,charge_rank,InChI,InChIKey,SMILES,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,BiGG.1,Species_ID,PC5,PC4,PC3,PC2,PC1
M_accoa_c,14,MNXM1104266,acetyl-CoA,chebi:57288,C23H34N7O17P3S,805.09667,-3.2941999999999974,-4.0,54.0,22.0,4.0,"InChI=1S/C23H38N7O17P3S/c1-12(31)51-7-6-25-14(32)4-5-26-21(35)18(34)23(2,3)9-44-50(41,42)47-49(39,40)43-8-13-17(46-48(36,37)38)16(33)22(45-13)30-11-29-15-19(24)27-10-28-20(15)30/h10-11,13,16-18,22,33-34H,4-9H2,1-3H3,(H,25,32)(H,26,35)(H,39,40)(H,41,42)(H2,24,27,28)(H2,36,37,38)/p-4/t13-,16-,17-,18+,22-/m1/s1",InChIKey=ZSLZBFCDCINBPY-ZSJPKINUSA-J,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],12.5807131687329,-5.820270104666975,12.5807131687329,0.0034704660131457,0.0401690029947255,805.5460000000007,771.2740000000006,805.0966678376403,288,0,0.4807077012465598,-0.8619479510336489,0.8619479510336489,0.4807077012465598,1.1372549019607845,1.803921568627451,2.450980392156863,32.166579494266934,9.872606451126076,2.482128500316475,-2.342527783495528,2.6082473864470304,-2.4514774929084577,8.131038534029958,-0.3465883762299365,1.5930256943616503,1739.5755214951382,38.3632320728199,26.890695648629816,30.39047380255729,23.51709351471486,14.378239646447788,19.8153219228024,11.220434050297998,16.6413362665147,6.681687436907177,10.558195004038014,4.212308582036089,7.4923869500884175,-2.4400000000000013,34567144578.26425,42.9683067116648,17.589923055001428,12.876498185098844,292.7398663899607,69.54389133324943,30.155919955625706,22.808218099523348,0.0,0.0,15.645394246264342,18.40913115528681,24.082032132704285,4.310631369623587,0.0,25.609359348772365,18.216312311641232,31.181094087659343,33.467747514670855,81.10817383779761,69.12248465390759,0.0,19.519035210632985,15.399799934668115,57.83579994372595,37.78979782475996,12.654640149529085,0.0,0.0,25.733545472348546,5.817862777835028,0.0,35.22997631878763,112.90167672331128,41.108417847424896,5.41499046939678,33.41993439273275,22.639449614800423,0.0,11.16387793838399,0.0,381.9300000000001,84.53610317826242,58.48943802923853,0.0,41.607352081155895,5.752853606746789,28.98362474671156,20.771211599071872,0.0,0.0,42.818617882872005,10.470530430962237,61.08286617671962,0.9822268077069932,72.79960344985798,45.18608537017214,4.128663508743143,-1.4869517706881936,0.0,-7.489926487037629,1.3979567070993917,-16.933857095906767,0.6521739130434783,51,6,24,0,1,1,0,2,2,23,5,28,19,0,1,1,3,166.9190999999997,0,2,2,1,0,4,0,0,0,0,1,1,0,0,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,accoa,M_accoa_c,3.8714957328794326,7.07351359998479,-0.3383774694366534,-1.891014089061682,19.29774201100701
M_adp_c,16,MNXM40333,ADP,chebi:456216,C10H12N5O10P2,424.00759,-3.6419999999999977,-3.0,45.0,19.0,11.0,"InChI=1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(24-10)1-23-27(21,22)25-26(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H2,11,12,13)(H2,18,19,20)/p-3/t4-,6-,7-,10-/m1/s1",InChIKey=XTWYTFMLZFPYCI-KQYNXXCUSA-K,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,11.278954553176234,-5.851432145651081,11.278954553176234,0.0655243460317906,0.378904119720912,424.17900000000014,412.0830000000001,424.0075855837299,150,0,0.2713677598802404,-0.7895094717435162,0.7895094717435162,0.2713677598802404,1.2222222222222223,1.9259259259259256,2.592592592592593,31.27024958488225,10.12838780631526,2.4448417654097345,-2.350424018002185,2.503664464166515,-2.337740942714353,7.58092114451102,-0.3394227991407291,1.748651806804535,932.2328730863924,19.98276318419593,13.0922537532245,14.881108135224329,12.483782345929072,7.11941598635501,10.040602959715892,5.40108814254728,8.10133867903646,3.595354151928169,5.660653116444993,2.463725559303399,3.96158180909554,-1.510000000000001,807942.5643023528,20.230095177968085,7.1445684815019455,4.329348036846754,149.76093941559873,44.45261547554421,30.155919955625706,17.692941169337626,0.0,7.822697123132171,0.0,13.44277930234627,14.951935562841626,0.0,0.0,0.0,0.0,0.0,20.75689916240963,47.59462765293695,32.62713496248336,0.0,19.519035210632985,0.0,24.53980033397978,12.340549441675105,12.654640149529085,0.0,0.0,20.41390228541961,5.817862777835028,0.0,15.645394246264342,54.65087112807221,22.70133805499811,0.0,6.22790117073487,12.654640149529085,0.0,11.16387793838399,0.0,241.09,46.79207654475704,34.0233861678015,0.0,16.98174071621902,0.0,6.3273200747645415,10.894419722555895,0.0,0.0,23.78631409417703,10.470530430962237,35.749106828900324,0.0,43.66595305847697,20.19337202293469,6.037580598231898,0.0655243460317906,0.0,-3.478963735049577,-0.9312925170068028,-11.356836158074843,0.5,27,4,15,0,1,1,0,2,2,15,3,17,6,0,1,1,3,77.909,0,2,2,1,0,4,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,adp,M_adp_c,0.1867902935092146,-1.9252551002760177,1.754972842890592,-3.1332206130235782,8.497603283489745
M_atp_c,18,MNXM3,ATP,chebi:30616,C10H12N5O13P3,502.96664,-4.156999999999997,-4.0,46.0,11.0,4.0,"InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/p-4/t4-,6-,7-,10-/m1/s1",InChIKey=ZKHQWZAMYRWXGA-KQYNXXCUSA-J,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,11.5910224544108,-6.1378904789844135,11.5910224544108,0.0195167181285582,0.2878796381859597,503.1500000000002,491.05400000000014,502.9666396536399,174,0,0.2777751212132938,-0.7895093814523427,0.7895093814523427,0.2777751212132938,1.064516129032258,1.7419354838709675,2.3870967741935485,31.29809044072628,10.12838779855489,2.446414400921884,-2.3721170318454794,2.60114892708162,-2.3370048180669363,7.643938689714088,-0.3389315162924129,1.6894094002007245,1104.7844074952268,23.18986996538248,14.764212220116049,17.447493793115793,14.190889127115618,7.849712729695232,12.231493189736556,5.92995139614001,10.177826388371289,3.795354151928169,7.460653116444992,2.601107166292557,5.466344429297931,-1.3600000000000008,3947352.34605584,24.285736405612447,8.53221316282703,5.714341420757948,171.2183290717767,49.346027078296686,30.155919955625706,17.692941169337626,0.0,15.645394246264342,0.0,18.0078275872776,19.26256693246521,0.0,0.0,0.0,0.0,0.0,20.75689916240963,61.36371891024434,40.44983208561553,0.0,19.519035210632985,0.0,24.53980033397978,12.340549441675105,12.654640149529085,0.0,0.0,25.30731388817209,5.817862777835028,0.0,23.46809136939651,54.65087112807221,31.577017709553022,0.0,6.22790117073487,12.654640149529085,0.0,11.16387793838399,0.0,290.45000000000005,54.61477366788921,43.4818460554853,0.0,16.98174071621902,0.0,12.654640149529085,4.567099647791355,0.0,0.0,28.096945463800616,10.470530430962237,50.204862937521824,0.0,54.92700643153397,20.32082891508855,5.922478258359277,0.0195167181285582,0.0,-3.9933778576292775,-1.0777104591836737,-18.07360494381923,0.5,31,4,18,0,1,1,0,2,2,18,3,21,8,0,1,1,3,86.60050000000001,0,2,2,1,0,4,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,atp,M_atp_c,0.0482360764330126,-1.5770862744923884,1.8023438658008752,-3.5142756779010105,10.583080300073492
M_co2_c,19,MNXM13,CO2,chebi:16526,CO2,43.98983,-0.5835,0.0,7.0,43.0,46.0,InChI=1S/CO2/c2-1-3,InChIKey=CURLTUGMZLYLDI-UHFFFAOYSA-N,O=C=O,8.125,0.25,8.125,0.25,0.3641671297164792,44.009,44.009,43.98982924,16,0,0.3729288194127355,-0.1864644097063677,0.3729288194127355,0.1864644097063677,1.3333333333333333,1.3333333333333333,1.3333333333333333,16.236649983752773,11.774350016247226,1.1319762751861255,-0.944511865479758,0.7870546020353398,-1.2169546020353397,5.199368063920028,-0.1913680639200279,3.2659863237109046,23.774437510817343,2.7071067811865475,1.3164965809277265,1.3164965809277265,1.4142135623730951,0.4082482904638631,0.4082482904638631,0.0833333333333333,0.0833333333333333,0.0,0.0,0.0,0.0,-0.6200000000000001,2.754887502163468,2.3800000000000003,1.38,1.3799999999999997,17.062295227917083,0.0,0.0,0.0,0.0,0.0,6.1514994233331,0.0,0.0,9.589074368143644,0.0,0.0,0.0,0.0,0.0,9.589074368143644,6.1514994233331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1514994233331,9.589074368143644,0.0,0.0,0.0,0.0,0.0,0.0,34.14,0.0,0.0,0.0,6.1514994233331,0.0,0.0,0.0,0.0,0.0,0.0,9.589074368143644,0.0,0.0,16.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,3,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,5.007,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,co2,M_co2_c,0.6292691161320195,1.1775030957557202,2.4365927058141064,0.3043740367928426,-6.350612380273007
M_coa_c,20,MNXM727276,CoA,chebi:57287,C21H32N7O16P3S,763.0861,-3.644099999999999,-4.0,53.0,18.0,4.0,"InChI=1S/C21H36N7O16P3S/c1-21(2,16(31)19(32)24-4-3-12(29)23-5-6-48)8-41-47(38,39)44-46(36,37)40-7-11-15(43-45(33,34)35)14(30)20(42-11)28-10-27-13-17(22)25-9-26-18(13)28/h9-11,14-16,20,30-31,48H,3-8H2,1-2H3,(H,23,29)(H,24,32)(H,36,37)(H,38,39)(H2,22,25,26)(H2,33,34,35)/p-4/t11-,14-,15-,16+,20-/m1/s1",InChIKey=RGJOEKWQDUBAIZ-IBOSZNHHSA-J,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS,12.545596003964448,-5.808683968426776,12.545596003964448,0.0029707018087403,0.0368814098193059,763.5090000000006,731.2530000000005,763.0861031536401,272,0,0.4807077012465598,-0.8619479531882883,0.8619479531882883,0.4807077012465598,1.1458333333333333,1.8125,2.458333333333333,32.11687429659048,9.872606582042096,2.481990629757487,-2.3425267068466216,2.608169741549548,-2.451475481145322,7.797850875419894,-0.3465814011622241,1.6373910924223762,1622.674815907993,36.078775022443736,25.021412663202053,28.59912142720172,22.161251467058293,13.497543987405948,18.581483236140745,10.603997511721444,15.200274941248896,6.3850751389774,9.66835811024868,4.02729274983593,6.93733945348794,-2.1100000000000008,9481983848.977167,40.32065647632231,16.275894519922357,11.203780872743495,276.8804166991601,69.54389133324943,30.155919955625706,17.692941169337626,0.0,0.0,15.645394246264342,13.61459397121499,24.082032132704285,16.939420517636577,0.0,13.847474399381248,18.216312311641232,24.25735688796872,33.467747514670855,76.31363665372581,64.87411192234376,0.0,19.519035210632985,15.399799934668115,50.91206274403533,37.78979782475996,12.654640149529085,0.0,0.0,25.733545472348546,5.817862777835028,0.0,36.0968805174095,107.78639979312554,36.31388066335308,5.41499046939678,26.49619719304213,22.639449614800423,0.0,11.16387793838399,0.0,364.86000000000007,84.53610317826242,53.69490084516671,0.0,36.49207515097018,5.752853606746789,17.22173979732044,13.847474399381248,0.0,0.0,55.447407030885,10.470530430962237,60.96206296942636,3.905685309682201,61.75064845571316,44.9319193584607,4.166972899787712,-1.3453286088453762,0.0,-7.348829295730806,0.2420654315262624,-16.87630763113133,0.6666666666666666,48,6,23,0,1,1,0,2,2,22,6,27,18,0,1,1,3,157.6330999999998,0,2,2,1,0,4,0,0,0,0,0,0,0,0,2,6,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coa,M_coa_c,5.653502663291101,6.311359227952699,0.8409901758634463,-2.583015795730261,18.43519450276378
M_g3p_c,22,MNXM739946,D-glyceraldehyde 3-phosphate,chebi:59776,C3H5O6P,167.98347,-2.608499999999999,-2.0,28.5,31.0,24.0,"InChI=1S/C3H7O6P/c4-1-3(5)2-9-10(6,7)8/h1,3,5H,2H2,(H2,6,7,8)/p-2/t3-/m0/s1",InChIKey=LXJXRIRHZLFYRP-VKHMYHEASA-L,O=C[C@H](O)COP(=O)([O-])[O-],9.674583333333334,-5.051658950617284,9.674583333333334,0.065138888888889,0.3634418642070361,168.04099999999997,163.00099999999998,167.98347166982003,60,0,0.1503677103435354,-0.7898731951300384,0.7898731951300384,0.1503677103435354,1.7,2.2,2.5,31.204460702102217,10.438905866740392,2.008900843359237,-2.281813732570293,2.233815579642496,-2.224619877479137,7.427305913449149,-0.3419596555169952,3.5507487210973183,149.07191849430646,8.198670612749268,4.797475962885031,5.6919031538849465,4.454507021897173,2.254454651874908,3.715048138555352,1.4464101152587168,2.599036196005794,0.5604932331832988,1.0257921977001228,0.2069372846079739,0.5422444336920831,-0.2599999999999999,99.59282168544264,9.739999999999998,3.798893864508994,5.869198966408269,56.67651451723653,28.776683231060627,6.103966387748303,6.286160523129555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.429579087645088,28.776683231060627,14.108857646261724,0.0,0.0,0.0,6.103966387748303,6.606881964512918,0.0,0.0,0.0,9.78682320550495,0.0,0.0,7.822697123132171,24.10353627023148,13.883332630714968,0.0,0.0,0.0,0.0,0.0,0.0,109.72,20.53354547539339,19.146408674508105,0.0,6.286160523129555,0.0,0.0,0.0,0.0,0.0,4.5237471617118175,5.106527394840706,13.21976851851852,0.0,28.94711419753087,8.329305555555557,0.0,0.0,0.0,-1.493912037037037,-0.8117283950617282,-5.051658950617284,0.6666666666666666,10,1,6,0,0,0,0,0,0,6,1,7,4,0,0,0,0,25.6293,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,g3p,M_g3p_c,2.355726717227062,-1.5237705649353068,-1.8552980385999784,-1.5828593079208977,-2.5086742872458583
M_gln__L_c,0,MNXM37,L-glutamine,chebi:58359,C5H10N2O3,146.06914,-0.2862299999999998,0.0,26.0,44.0,46.0,"InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m0/s1",InChIKey=ZDXPYRJPNDTMRX-VKHMYHEASA-N,NC(=O)CC[C@H]([NH3+])C(=O)[O-],10.03469671201814,-1.1099537037037035,10.03469671201814,0.0212962962962963,0.3226790445002702,146.14600000000002,136.066,146.06914218,58,0,0.3199828275063096,-0.496742604197077,0.496742604197077,0.3199828275063096,1.6,2.1,2.4,16.367651249811228,10.156477768736666,2.1041617394691325,-2.0208974799789337,1.9322677268484567,-2.29917959131852,5.749383642234384,-0.1381375257318324,3.4907296603908136,145.8284895747849,8.146264369941973,5.371589582216126,5.371589582216126,4.536581260209188,2.785147889717173,2.785147889717173,1.9300998520578387,1.9300998520578387,1.0093426073813,1.0093426073813,0.4156959106031993,0.4156959106031993,-1.1,111.0417522239666,8.9,3.837557392102848,3.8485659349463233,57.97425078612928,15.946722266843596,6.041840829147961,5.897745344357611,0.0,0.0,5.969305287951849,10.203820789863345,0.0,0.0,0.0,0.0,6.4208216229260096,6.4208216229260096,0.0,15.007591973753234,11.86705063230946,5.409283605791522,0.0,5.733667477162185,18.88348407499998,0.0,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,28.12194625113883,4.794537184071822,5.409283605791522,12.84164324585202,0.0,0.0,0.0,0.0,107.40000000000002,17.908891461457422,4.794537184071822,0.0,12.84164324585202,0.0,0.0,0.0,0.0,0.0,0.0,21.35600587263512,0.0,0.0,10.03469671201814,23.07132180650038,5.057453703703704,-1.6407870370370363,-0.9791666666666672,0.1231481481481482,0.0,0.0,0.6,10,5,5,0,0,0,0,0,0,3,4,5,4,0,0,0,0,35.2007,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gln__L,M_gln__L_c,-0.9459531929805606,-0.9581206109772414,-0.0493324637588197,-0.5331080286881462,-2.0982113386945698
M_glu__L_c,1,MNXM741173,L-glutamate,chebi:29985,C5H8NO4,146.04588,-2.071599999999999,-1.0,25.0,35.0,36.0,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/p-1/t3-/m0/s1",InChIKey=WHUUTDBJXJRKMK-VKHMYHEASA-M,[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],9.973472222222222,-1.280833333333333,9.973472222222222,0.0856481481481481,0.4737433635483861,146.122,138.058,146.04588131591,58,0,0.3199803672883645,-0.5501705582123831,0.5501705582123831,0.3199803672883645,1.6,2.1,2.4,16.37071260929044,10.15987524820017,2.0922487963649608,-2.0466994838554182,1.91612253889609,-2.3243240408738166,5.738159729292682,-0.3053487045190167,3.4907296603908136,144.58337707694838,8.146264369941973,5.240872567643894,5.240872567643894,4.536581260209188,2.7197893824310566,2.7197893824310566,1.8554143428059395,1.8554143428059395,0.9766633537382424,0.9766633537382424,0.3968285347154637,0.3968285347154637,-1.1,111.0417522239666,8.9,3.837557392102848,3.8485659349463233,57.450421886908245,20.74125945091542,6.041840829147961,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,0.0,12.84164324585202,5.969305287951849,0.0,19.802129157825057,11.9386105759037,0.0,0.0,5.733667477162185,18.88348407499998,0.0,0.0,0.0,0.0,10.84019487200289,0.0,0.0,0.0,23.086978799892364,9.589074368143644,0.0,12.84164324585202,0.0,0.0,0.0,0.0,103.45,17.98045140505166,14.69560176298435,0.0,12.84164324585202,0.0,0.0,0.0,0.0,0.0,0.0,10.84019487200289,0.0,0.0,19.74022297808012,17.923295540438396,4.974120370370371,-2.4741203703703696,-1.0991666666666668,-0.3976851851851852,0.0,0.0,0.6,10,3,5,0,0,0,0,0,0,4,2,5,4,0,0,0,0,29.8522,2,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,glu__L,M_glu__L_c,-0.9205546532698504,1.3728147756839395,-2.3517598165412554,-0.4440206030197549,-3.176985870271102
M_h2o_c,2,WATER,H2O,mnx:WATER,H2O,18.01056,-0.8247,0.0,3.0,42.0,46.0,InChI=1S/H2O/h1H2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N,[H]O[H],0.0,0.0,0.0,0.0,0.3277476769246249,18.015,15.999,18.010564684,8,0,-0.4115095219374226,-0.4115095219374226,0.4115095219374226,0.4115095219374226,1.0,1.0,1.0,15.999,15.999,-0.4115095219374226,-0.4115095219374226,-0.2893,-0.2893,0.8238,0.8238,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.0,0.9600000000000016,-27.040000000000028,-104.0400000000001,6.84923118831809,5.476191835881363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.476191835881363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.476191835881363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5,0.0,0.0,0.0,5.476191835881363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.6138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,h20,M_h2o_c,0.5296495809583579,1.5950895101954998,6.833199081436098,0.8143914138506767,-8.497480846153666
M_h_c,3,MNXM01,PMF,mnx:PMF,H,1.00794,0.1125,1.0,1.5,49.5,54.0,InChI=1S/p+1,InChIKey=GPRLSGONYQIRFK-UHFFFAOYSA-N,[H+],0.0,0.0,0.0,0.0,0.3426425581429387,1.008,0.0,1.00727645209,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.008,1.008,1.0,1.0,0.1125,0.1125,1.112,1.112,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.853276129399244,0.0,0.0,0.0,0.0,0.0,1.426638064699622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.426638064699622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.426638064699622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.426638064699622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,h,M_h_c,-2.663695808969414,4.0308584772963885,9.228433348897426,1.8571045329701168,-8.16081973283073
