MNXM,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
MNXM1107419,2.0,1.3333333333333335,2.0,1.3333333333333335,0.5095361356782174,175.824,175.824,175.81291984017997,26,2,,,,,1.0,1.25,1.25,,,,,,,,,2.0,12.0,2.8284271247461903,1.5236033621142737,5.364965690205828,2.0,0.5773502691896258,7.141428428542849,0.21991320281372373,9.578379624548226,0.08333333333333334,12.749999999999995,0.020833333333333336,3.1874999999999987,1.7389610389610388,3.6096404744368114,3.913208606283962,2.011492718672601,0.8516400878192142,42.44360790038189,0.0,0.0,0.0,0.0,0.0,42.62692368418284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.430617804153332,17.19630588002951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.19630588002951,0.0,25.430617804153332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.430617804153332,0.0,17.19630588002951,0.0,0.0,0.0,2.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4,0,0,0,1,1,0,0,0,2,0,4,0,0,1,1,1,1.2914,15.182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNXM732620,6.0,6.0,6.0,6.0,0.292487473410359,34.014,31.998,34.005479304,14,0,-0.254557430614467,-0.254557430614467,0.254557430614467,0.254557430614467,1.0,1.0,1.0,16.999,14.998999999999999,0.7454425693855331,-1.254557430614467,0.7107,-1.2893,1.8237999999999999,-0.17619999999999997,1.0,0.0,2.0,0.8944271909999159,0.8944271909999159,1.0,0.19999999999999998,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,2.0,1.9199999999999995,0.9200000000000015,-14.580000000000016,11.892071733563276,0.0,0.0,0.0,0.0,0.0,0.0,10.514470788593536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.514470788593536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.514470788593536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.514470788593536,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0.01739999999999997,5.2576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNXM1093356,7.798611111111111,0.183641975308642,7.798611111111111,0.183641975308642,0.4198536028422452,78.136,72.088,78.013935812,26,0,0.05187091585713182,-0.39552831752465284,0.39552831752465284,0.05187091585713182,1.75,2.0,2.0,32.1168658769081,10.887066000166987,1.5736614552200159,-1.685909538106304,1.6122827373828028,-1.7592611350917635,7.797682992813883,0.32272820068501423,1.9747448713915894,8.0,3.414213562373095,2.3086407533730107,3.2030679443729264,1.914213562373095,1.1324555320336755,1.7649110640673515,0.4472135954999578,0.8944271909999157,0.09999999999999996,0.29999999999999993,0.0,0.0,0.31,6.854752972273345,4.309999999999998,3.3099999999999983,2.309999999999998,31.05349355782389,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.628789148012991,0.0,0.0,0.0,5.752853606746789,6.606881964512918,5.106527394840706,12.628789148012991,0.0,0.0,0.0,0.0,12.359735571259707,0.0,0.0,0.0,0.0,0.0,0.0,12.628789148012991,17.466262966100413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.23,0.0,0.0,0.0,6.606881964512918,5.752853606746789,0.0,0.0,0.0,0.0,12.628789148012991,5.106527394840706,0.0,3.670524691358025,0.0,7.798611111111111,0.0,0.5694444444444444,0.0,0.0,0.183641975308642,0.0,1.0,4,1,1,0,0,0,0,0,0,2,2,2,1,0,0,0,0,-0.09150000000000003,20.938799999999993,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNXM2861,7.90625,0.09375,7.90625,0.09375,0.4590493065582775,76.095,68.03099999999999,76.052429496,32,0,0.045238236823877565,-0.39628647261089006,0.39628647261089006,0.045238236823877565,1.0,1.4,1.4,16.26511964546613,10.503492168707796,1.698723971189745,-1.7909256874270039,1.6471801492495908,-1.8477962555191658,4.216962749735002,0.22099673119070984,2.19060968716425,12.36452797660028,4.121320343559642,3.015747534559558,3.015747534559558,2.414213562373095,1.6324555320336755,1.6324555320336755,0.8007669860932315,0.8007669860932315,0.31622776601683783,0.31622776601683783,0.07071067811865472,0.07071067811865472,-0.08,11.245112497836532,4.920000000000001,3.9200000000000004,3.92,31.057602761014792,10.213054789681411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4208216229260096,13.213763929025836,0.0,10.213054789681411,0.0,0.0,0.0,0.0,6.4208216229260096,13.213763929025836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.426818718707246,0.0,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,40.46,0.0,0.0,0.0,13.213763929025836,6.4208216229260096,0.0,0.0,0.0,0.0,0.0,10.213054789681411,0.0,0.0,0.0,15.8125,0.0,0.0,0.0,0.5,0.1875,0.0,1.0,5,2,2,0,0,0,0,0,0,2,2,2,2,0,0,0,0,-0.6389,18.7886,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNXM8348,11.086298500881835,-2.056545259594502,11.086298500881835,0.7610045561434449,0.10283591261290713,666.5790000000005,624.2430000000003,666.2218583639999,264,0,0.1867329980516085,-0.3935665150995826,0.3935665150995826,0.1867329980516085,0.37777777777777777,0.7777777777777778,1.288888888888889,16.76264813603517,9.95634587841203,2.5384567946167973,-2.480155571708607,2.3291336806586713,-2.666014904127171,4.96705217342663,-0.38279852694290256,1.5626071313210135,912.1197144088386,33.32517997684454,23.494160878785156,23.494160878785156,21.24572757586453,14.108002100194598,14.108002100194598,11.182250267526241,11.182250267526241,8.184148275749033,8.184148275749033,5.43964374960229,5.43964374960229,-0.8400000000000002,4806091526.812481,36.98659432347678,15.584880611704925,7.588624589762135,254.02368418212689,104.64942420437025,97.66346220397283,25.16010691734085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.427527858051672,104.64942420437025,0.0,0.0,0.0,0.0,122.82356912131367,26.427527858051672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.74248050713518,33.15804067660034,0.0,0.0,0.0,0.0,0.0,0.0,347.83000000000004,149.25109697936534,71.49138352776987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.15804067660034,38.0192278758114,0.0,0.0,141.98401721037504,0.0,0.0,0.0,-35.62239912571391,-3.214179293805883,0.0,1.0,45,14,21,0,4,4,0,0,0,21,14,21,10,0,4,4,4,-9.748800000000012,133.88620000000003,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNXM1103964,9.77887167212564,-1.7390736541530194,9.77887167212564,0.4675623582766437,0.24325846760776557,342.297,320.12100000000004,342.11621152399994,136,0,0.1862643241939477,-0.3935665150995826,0.3935665150995826,0.1862643241939477,0.6521739130434783,1.2173913043478262,1.826086956521739,16.716127537610063,9.9830685508838,2.4627712736963385,-2.414465092387097,2.2427920496285085,-2.610234082241913,4.907067786705915,-0.32547257822897224,1.9398102917255935,380.01843836179484,17.309036597829,11.99016988966061,11.99016988966061,10.772963365427636,7.07396967841375,7.07396967841375,5.56748513679139,5.56748513679139,3.9603220354868607,3.9603220354868607,2.4633653983706587,2.4633653983706587,-0.43999999999999995,105996.29990699506,18.89235232228663,7.630403592249655,3.805051280688701,130.43645768522254,55.06280802012578,48.83173110198641,12.580053458670426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.213763929025836,55.06280802012578,0.0,0.0,0.0,0.0,61.41178456065684,13.213763929025836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.47776764840835,14.210588861400147,0.0,0.0,0.0,0.0,0.0,0.0,189.52999999999997,74.62554848968267,35.745691763884935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.31711625624085,15.113126653439153,0.0,0.0,76.10943527320376,0.0,0.0,0.0,-15.293670980010718,-1.0955576132988643,0.0,1.0,23,8,11,0,2,2,0,0,0,11,8,11,4,0,2,2,2,-5.397199999999993,68.61940000000004,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNXM733515,11.201862199608254,-2.1751886287306155,11.201862199608254,0.8296375951832684,0.06825973674189155,990.8610000000012,928.3650000000002,990.3275052040003,392,0,0.18673275214983254,-0.39356651509080415,0.39356651509080415,0.18673275214983254,0.22388059701492538,0.43283582089552236,0.6865671641791045,16.782126787365648,9.949191912474115,2.57135153843802,-2.494523658538616,2.363233783885237,-2.6793492773470238,4.995785294802542,-0.39554316419885177,1.0682200899198577,1497.4045251766001,49.34132335586005,34.9981518679097,34.9981518679097,31.7564965887622,21.147090524045797,21.147090524045797,16.756362144226692,16.756362144226692,12.426625090432774,12.426625090432774,8.521535024758133,8.521535024758133,-1.2400000000000004,205620333588916.94,55.080748868538976,23.537512982896228,11.222780072959784,377.6109106790315,154.23604038861464,146.49519330595925,37.740160376011275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.641291787077506,154.23604038861464,0.0,0.0,0.0,0.0,184.2353536819705,39.641291787077506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0071933658622,52.10549249180054,0.0,0.0,0.0,0.0,0.0,0.0,506.13000000000017,223.87664546904801,102.13054789681414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.10549249180054,60.49255333938713,0.0,0.0,209.16116104510712,0.0,0.0,0.0,-56.4859067645057,-5.667807619988565,0.0,1.0,67,20,31,0,6,6,0,0,0,31,20,31,16,0,6,6,6,-14.100400000000024,199.15299999999968,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNXM738130,10.858558750731195,-2.0202710158018045,10.858558750731195,0.7835685018830683,0.10283591261290713,666.5790000000005,624.2430000000003,666.2218583639999,264,0,0.18673275214983254,-0.39356651509080415,0.39356651509080415,0.18673275214983254,0.3333333333333333,0.6444444444444445,1.0222222222222221,16.764015837987667,9.953412176790174,2.5457698210428426,-2.485137753524978,2.3362110650247647,-2.67120506889114,4.972950833591919,-0.3872548986455075,1.431490707654724,910.1197144088387,33.325179976844545,23.494160878785156,23.494160878785156,21.283732378325315,14.113058102264977,14.113058102264977,11.141597013491852,11.141597013491852,8.202798850170609,8.202798850170609,5.545614539089144,5.545614539089144,-0.8400000000000002,4930926231.852399,36.98659432347678,15.584880611704925,7.436338183053095,254.02368418212683,104.64942420437026,97.66346220397283,25.16010691734085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.427527858051672,104.64942420437026,0.0,0.0,0.0,0.0,122.82356912131367,26.427527858051672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.74248050713516,33.15804067660034,0.0,0.0,0.0,0.0,0.0,0.0,347.83000000000004,149.25109697936534,71.49138352776987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.15804067660034,37.698594124478596,0.0,0.0,142.13560924607918,0.0,0.0,0.0,-35.281389991715024,-3.38614671217609,0.0,1.0,45,14,21,0,4,4,0,0,0,21,14,21,10,0,4,4,4,-9.748800000000012,133.88620000000003,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNXM89612,8.166666666666668,-0.9537037037037039,8.166666666666668,0.36458333333333326,0.3814944322102413,92.09400000000001,84.03,92.047344116,38,0,0.10004702601723478,-0.3935933161206694,0.3935933161206694,0.10004702601723478,1.1666666666666667,1.5,1.5,16.344803208507116,10.418392587147725,1.932810557446746,-1.9633086591105848,1.7123879794103936,-2.153670382242676,4.434895881394919,0.04502149254246311,2.7541847860376616,25.219280948873624,4.99156383156272,3.3332046180625943,3.3332046180625943,2.808060412490447,1.7071510027085632,1.7071510027085632,1.0189718779350343,1.0189718779350343,0.42149820593270626,0.42149820593270626,0.05773502691896257,0.05773502691896257,-0.12,19.800269059780252,5.88,3.0849180327868857,2.1377319587628865,35.851836513210806,15.319582184522117,6.103966387748303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.213763929025836,15.319582184522117,0.0,0.0,0.0,0.0,6.103966387748303,13.213763929025836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.63731250129626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.69,6.103966387748303,0.0,0.0,13.213763929025836,0.0,0.0,0.0,0.0,0.0,0.0,15.319582184522117,0.0,0.0,0.0,24.016203703703706,0.0,0.0,0.0,-0.9537037037037039,-0.7291666666666665,0.0,1.0,6,3,3,0,0,0,0,0,0,3,3,3,2,0,0,0,0,-1.6681000000000001,20.1784,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNXM1108051,8.93287037037037,-1.3822685185185188,8.93287037037037,0.40745370370370315,0.3293435256733101,150.13,140.04999999999998,150.05282342,60,0,0.1835703054393058,-0.3935665000844275,0.3935665000844275,0.1835703054393058,1.1,1.7,1.9,16.647100204895388,10.14321189236643,2.4055554539551407,-2.091087354501155,2.1784850639291355,-2.331659938311475,4.843663050190402,-0.1324733519773714,2.526211434209837,116.6059378176129,7.723614639131599,5.213610530408746,5.213610530408746,4.663902460147014,2.9704772465132163,2.9704772465132163,2.2288568306597276,2.2288568306597276,1.517149118834793,1.517149118834793,0.8797129637297256,0.8797129637297256,-0.2,201.34911625101472,7.90204081632653,2.811342155009452,1.1383411185456385,57.48366857017767,25.162972533162872,18.31189916324491,6.290026729335213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.606881964512918,25.162972533162872,0.0,0.0,0.0,0.0,24.60192589258012,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.63491743645586,4.736862953800049,0.0,0.0,0.0,0.0,0.0,0.0,90.15,31.208807857093035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,20.426109579362823,4.5405092592592595,0.0,0.0,34.955555555555556,0.0,0.0,0.0,-4.7552777777777795,-0.40745370370370315,0.0,1.0,10,4,5,0,1,1,0,0,0,5,4,5,1,0,1,1,1,-2.5823000000000005,29.979199999999988,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
