val,BiGG
4,M_dhap_c
4,M_10fthf_c
4,M_pydx5p_c
4,M_adphep_LD_c
4,M_thr__L_c
4,M_fum_p
4,M_flxr_c
4,M_pa160_c
4,M_iscssh_c
4,M_g3pg_c
4,M_r5p_c
4,M_akg_c
4,M_ac_c
4,M_fe2_p
4,M_duri_c
4,M_udcpdp_p
4,M_pep_c
4,M_h_c
4,M_pa141_c
4,M_rib__D_c
4,M_2dr1p_c
4,M_gthrd_c
4,M_hdcea_c
4,M_acgam6p_c
4,M_thmpp_c
4,M_ni2_c
4,M_mn2_c
4,M_murein5p5p_p
4,M_pa181_c
4,M_h2o_p
4,M_hdca_p
4,M_glyc3p_c
4,M_ser__L_c
4,M_ump_c
4,M_2dhguln_c
4,M_ctp_c
4,M_xan_c
4,M_xu5p__D_c
4,M_fadh2_c
4,M_pppi_c
4,M_glyclt_c
4,M_glyb_c
4,M_alaala_p
4,M_uri_p
4,M_ocdcea_p
4,M_accoa_c
4,M_arg__L_c
4,M_asp__L_c
4,M_pg161_c
4,M_imp_c
4,M_o2_c
4,M_ocdcea_c
4,M_h_p
4,M_succ_p
4,M_gal_p
4,M_idon__L_c
4,M_nad_c
4,M_na1_p
4,M_r1p_c
4,M_tdeACP_c
4,M_chol_c
4,M_malt_c
4,M_no2_p
4,M_fald_c
4,M_g3pe_p
4,M_ocdca_c
4,M_mg2_c
4,M_pg141_p
4,M_adp_c
4,M_mal__L_c
4,M_g3p_c
4,M_so3_c
4,M_met__L_c
4,M_glx_c
4,M_6pgc_c
4,M_nh4_c
4,M_cytd_c
4,M_hdeACP_c
4,M_pi_c
4,M_nh4_p
4,M_chor_c
4,M_thymd_c
4,M_dad_5_c
4,M_zn2_c
4,M_q8h2_c
4,M_pa140_c
4,M_tyr__L_c
4,M_cys__L_c
4,M_pg120_c
4,M_amet_c
4,M_h2s_c
4,M_glc__D_c
4,M_zn2_p
4,M_e4p_c
4,M_trp__L_c
4,M_lys__L_c
4,M_dxyl5p_c
4,M_atp_c
4,M_indole_c
4,M_26dap__M_c
4,M_thf_c
4,M_h_e
4,M_glyc_p
4,M_cytd_p
4,M_thr__L_p
4,M_pyam5p_c
4,M_ttdca_p
4,M_mal__L_p
4,M_ser__L_p
4,M_dttp_c
4,M_pe160_p
4,M_pg160_p
4,M_pa120_p
4,M_ttdca_c
4,M_glycogen_c
4,M_ahcys_c
4,M_trdox_c
4,M_adn_p
4,M_dctp_c
4,M_grxrd_c
4,M_pa161_c
4,M_ru5p__D_c
4,M_lald__L_c
4,M_ppcoa_c
4,M_gsn_c
4,M_ins_c
4,M_ura_c
4,M_LalaDgluMdapDala_c
4,M_pdx5p_c
4,M_colipa_p
4,M_pe181_p
4,M_glcn_c
4,M_mptamp_c
4,M_cobalt2_c
4,M_utp_c
4,M_adn_c
4,M_pg140_p
4,M_mthgxl_c
4,M_dtmp_c
4,M_gdp_c
4,M_k_c
4,M_o2_p
4,M_fe2_c
4,M_uri_c
4,M_datp_c
4,M_ppi_c
4,M_nadp_c
4,M_glu__L_c
4,M_g1p_c
4,M_fum_c
4,M_spmd_c
4,M_ile__L_c
4,M_ocACP_c
4,M_ttdcea_p
4,M_ppa_c
4,M_cbp_c
4,M_3mob_c
4,M_chol_p
4,M_murein4p4p_p
4,M_mn2_p
4,M_udpg_c
4,M_gln__L_c
4,M_pg181_p
4,M_xmp_c
4,M_2dmmq8_c
4,M_ocdca_p
4,M_malthx_c
4,M_maltpt_c
4,M_maltttr_c
4,M_anhgm4p_p
4,M_octeACP_c
4,M_pa181_p
