,BiGG,BiGG_target
0,M_cytd_c,M_cmp_c
1,M_cytd_c,M_gdp_c
2,M_cytd_c,M_h_c
3,M_gtp_c,M_cmp_c
4,M_gtp_c,M_gdp_c
5,M_gtp_c,M_h_c
6,M_prpp_c,M_ppi_c
7,M_prpp_c,M_xmp_c
8,M_xan_c,M_ppi_c
9,M_xan_c,M_xmp_c
10,M_hxan_c,M_imp_c
11,M_hxan_c,M_ppi_c
12,M_prpp_c,M_imp_c
13,M_prpp_c,M_ppi_c
14,M_atp_c,M_adp_c
15,M_atp_c,M_dgtp_c
16,M_dgdp_c,M_adp_c
17,M_dgdp_c,M_dgtp_c
18,M_3dhsk_c,M_nadp_c
19,M_3dhsk_c,M_skm_c
20,M_h_c,M_nadp_c
21,M_h_c,M_skm_c
22,M_nadph_c,M_nadp_c
23,M_nadph_c,M_skm_c
24,M_atp_c,M_adp_c
25,M_atp_c,M_dutp_c
26,M_dudp_c,M_adp_c
27,M_dudp_c,M_dutp_c
28,M_atp_c,M_adp_c
29,M_atp_c,M_datp_c
30,M_dadp_c,M_adp_c
31,M_dadp_c,M_datp_c
32,M_dhor__S_c,M_cbasp_c
33,M_dhor__S_c,M_h_c
34,M_h2o_c,M_cbasp_c
35,M_h2o_c,M_h_c
36,M_h_c,M_co2_c
37,M_h_c,M_ump_c
38,M_orot5p_c,M_co2_c
39,M_orot5p_c,M_ump_c
40,M_pi_c,M_r1p_c
41,M_pi_c,M_ura_c
42,M_uri_c,M_r1p_c
43,M_uri_c,M_ura_c
44,M_glu5p_c,M_glu5sa_c
45,M_glu5p_c,M_nadp_c
46,M_glu5p_c,M_pi_c
47,M_h_c,M_glu5sa_c
48,M_h_c,M_nadp_c
49,M_h_c,M_pi_c
50,M_nadph_c,M_glu5sa_c
51,M_nadph_c,M_nadp_c
52,M_nadph_c,M_pi_c
53,M_accoa_c,M_cit_c
54,M_accoa_c,M_coa_c
55,M_accoa_c,M_h_c
56,M_h2o_c,M_cit_c
57,M_h2o_c,M_coa_c
58,M_h2o_c,M_h_c
59,M_oaa_c,M_cit_c
60,M_oaa_c,M_coa_c
61,M_oaa_c,M_h_c
62,M_icit_c,M_akg_c
63,M_icit_c,M_co2_c
64,M_icit_c,M_nadph_c
65,M_nadp_c,M_akg_c
66,M_nadp_c,M_co2_c
67,M_nadp_c,M_nadph_c
68,M_ala__L_c,M_pyam5p_c
69,M_ala__L_c,M_pyr_c
70,M_pydx5p_c,M_pyam5p_c
71,M_pydx5p_c,M_pyr_c
72,M_duri_c,M_2dr1p_c
73,M_duri_c,M_ura_c
74,M_pi_c,M_2dr1p_c
75,M_pi_c,M_ura_c
76,M_acald_c,M_accoa_c
77,M_acald_c,M_h_c
78,M_acald_c,M_nadh_c
79,M_coa_c,M_accoa_c
80,M_coa_c,M_h_c
81,M_coa_c,M_nadh_c
82,M_nad_c,M_accoa_c
83,M_nad_c,M_h_c
84,M_nad_c,M_nadh_c
85,M_akg_c,M_4abutn_c
86,M_akg_c,M_glu__L_c
87,M_ptrc_c,M_4abutn_c
88,M_ptrc_c,M_glu__L_c
89,M_ac_c,M_accoa_c
90,M_ac_c,M_amp_c
91,M_ac_c,M_ppi_c
92,M_atp_c,M_accoa_c
93,M_atp_c,M_amp_c
94,M_atp_c,M_ppi_c
95,M_coa_c,M_accoa_c
96,M_coa_c,M_amp_c
97,M_coa_c,M_ppi_c
98,M_cys__L_c,M_h2s_c
99,M_cys__L_c,M_nh4_c
100,M_cys__L_c,M_pyr_c
101,M_h2o_c,M_h2s_c
102,M_h2o_c,M_nh4_c
103,M_h2o_c,M_pyr_c
104,M_man6p_c,M_f6p_c
105,M_h2o_c,M_h_c
106,M_h2o_c,M_pi_c
107,M_ppi_c,M_h_c
108,M_ppi_c,M_pi_c
109,M_5apru_c,M_5aprbu_c
110,M_5apru_c,M_nadp_c
111,M_h_c,M_5aprbu_c
112,M_h_c,M_nadp_c
113,M_nadph_c,M_5aprbu_c
114,M_nadph_c,M_nadp_c
115,M_h2o_c,M_indole_c
116,M_h2o_c,M_nh4_c
117,M_h2o_c,M_pyr_c
118,M_trp__L_c,M_indole_c
119,M_trp__L_c,M_nh4_c
120,M_trp__L_c,M_pyr_c
121,M_atp_c,M_adp_c
122,M_atp_c,M_co2_c
123,M_atp_c,M_pep_c
124,M_oaa_c,M_adp_c
125,M_oaa_c,M_co2_c
126,M_oaa_c,M_pep_c
127,M_mal__L_c,M_co2_c
128,M_mal__L_c,M_nadh_c
129,M_mal__L_c,M_pyr_c
130,M_nad_c,M_co2_c
131,M_nad_c,M_nadh_c
132,M_nad_c,M_pyr_c
133,M_ru5p__D_c,M_db4p_c
134,M_ru5p__D_c,M_for_c
135,M_ru5p__D_c,M_h_c
136,M_ala__L_c,M_ala__D_c
137,M_atp_c,M_adp_c
138,M_atp_c,M_fmn_c
139,M_atp_c,M_h_c
140,M_ribflv_c,M_adp_c
141,M_ribflv_c,M_fmn_c
142,M_ribflv_c,M_h_c
143,M_akg_c,M_glu__L_c
144,M_akg_c,M_pyr_c
145,M_ala__L_c,M_glu__L_c
146,M_ala__L_c,M_pyr_c
147,M_atp_c,M_adp_c
148,M_atp_c,M_h_c
149,M_atp_c,M_xu5p__D_c
150,M_xylu__D_c,M_adp_c
151,M_xylu__D_c,M_h_c
152,M_xylu__D_c,M_xu5p__D_c
153,M_atp_c,M_adp_c
154,M_atp_c,M_h_c
155,M_atp_c,M_r5p_c
156,M_rib__D_c,M_adp_c
157,M_rib__D_c,M_h_c
158,M_rib__D_c,M_r5p_c
159,M_atp_c,M_adp_c
160,M_atp_c,M_glyc3p_c
161,M_atp_c,M_h_c
162,M_glyc_c,M_adp_c
163,M_glyc_c,M_glyc3p_c
164,M_glyc_c,M_h_c
165,M_r1p_c,M_r5p_c
166,M_akg_c,M_glu__L_c
167,M_akg_c,M_oaa_c
168,M_asp__L_c,M_glu__L_c
169,M_asp__L_c,M_oaa_c
170,M_fmn_c,M_pi_c
171,M_fmn_c,M_ribflv_c
172,M_h2o_c,M_pi_c
173,M_h2o_c,M_ribflv_c
174,M_dmlz_c,M_4r5au_c
175,M_dmlz_c,M_ribflv_c
176,M_gdp_c,M_gmp_c
177,M_gdp_c,M_h_c
178,M_gdp_c,M_pi_c
179,M_h2o_c,M_gmp_c
180,M_h2o_c,M_h_c
181,M_h2o_c,M_pi_c
182,M_cdp_c,M_cmp_c
183,M_cdp_c,M_h_c
184,M_cdp_c,M_pi_c
185,M_h2o_c,M_cmp_c
186,M_h2o_c,M_h_c
187,M_h2o_c,M_pi_c
188,M_h2o_c,M_h_c
189,M_h2o_c,M_pi_c
190,M_h2o_c,M_ump_c
191,M_udp_c,M_h_c
192,M_udp_c,M_pi_c
193,M_udp_c,M_ump_c
194,M_fdp_c,M_f6p_c
195,M_fdp_c,M_pi_c
196,M_h2o_c,M_f6p_c
197,M_h2o_c,M_pi_c
198,M_atp_c,M_adpglc_c
199,M_atp_c,M_ppi_c
200,M_g1p_c,M_adpglc_c
201,M_g1p_c,M_ppi_c
202,M_h_c,M_adpglc_c
203,M_h_c,M_ppi_c
204,M_ala__D_c,M_pyam5p_c
205,M_ala__D_c,M_pyr_c
206,M_pydx5p_c,M_pyam5p_c
207,M_pydx5p_c,M_pyr_c
208,M_adp_c,M_atp_c
209,M_adp_c,M_pyr_c
210,M_h_c,M_atp_c
211,M_h_c,M_pyr_c
212,M_pep_c,M_atp_c
213,M_pep_c,M_pyr_c
214,M_dscl_c,M_h_c
215,M_dscl_c,M_nadh_c
216,M_dscl_c,M_scl_c
217,M_nad_c,M_h_c
218,M_nad_c,M_nadh_c
219,M_nad_c,M_scl_c
220,M_ru5p__D_c,M_ara5p_c
221,M_5aprbu_c,M_4r5au_c
222,M_5aprbu_c,M_pi_c
223,M_h2o_c,M_4r5au_c
224,M_h2o_c,M_pi_c
225,M_cpppg3_c,M_co2_c
226,M_cpppg3_c,M_h2o_c
227,M_cpppg3_c,M_pppg9_c
228,M_h_c,M_co2_c
229,M_h_c,M_h2o_c
230,M_h_c,M_pppg9_c
231,M_o2_c,M_co2_c
232,M_o2_c,M_h2o_c
233,M_o2_c,M_pppg9_c
234,M_gthox_c,M_gthrd_c
235,M_gthox_c,M_nadp_c
236,M_h_c,M_gthrd_c
237,M_h_c,M_nadp_c
238,M_nadph_c,M_gthrd_c
239,M_nadph_c,M_nadp_c
240,M_akg_c,M_3mop_c
241,M_akg_c,M_glu__L_c
242,M_ile__L_c,M_3mop_c
243,M_ile__L_c,M_glu__L_c
244,M_dhor__S_c,M_mql8_c
245,M_dhor__S_c,M_orot_c
246,M_mqn8_c,M_mql8_c
247,M_mqn8_c,M_orot_c
248,M_glyclt_c,M_glx_c
249,M_glyclt_c,M_q8h2_c
250,M_q8_c,M_glx_c
251,M_q8_c,M_q8h2_c
252,M_akg_c,M_3mob_c
253,M_akg_c,M_glu__L_c
254,M_val__L_c,M_3mob_c
255,M_val__L_c,M_glu__L_c
256,M_glyclt_c,M_glx_c
257,M_glyclt_c,M_mql8_c
258,M_mqn8_c,M_glx_c
259,M_mqn8_c,M_mql8_c
260,M_2ippm_c,M_3c3hmp_c
261,M_h2o_c,M_3c3hmp_c
262,M_2dmmq8_c,M_2dmmql8_c
263,M_2dmmq8_c,M_glx_c
264,M_glyclt_c,M_2dmmql8_c
265,M_glyclt_c,M_glx_c
266,M_orot5p_c,M_orot_c
267,M_orot5p_c,M_prpp_c
268,M_ppi_c,M_orot_c
269,M_ppi_c,M_prpp_c
270,M_4r5au_c,M_dmlz_c
271,M_4r5au_c,M_h2o_c
272,M_4r5au_c,M_pi_c
273,M_db4p_c,M_dmlz_c
274,M_db4p_c,M_h2o_c
275,M_db4p_c,M_pi_c
276,M_2obut_c,M_2ahbut_c
277,M_2obut_c,M_co2_c
278,M_h_c,M_2ahbut_c
279,M_h_c,M_co2_c
280,M_pyr_c,M_2ahbut_c
281,M_pyr_c,M_co2_c
282,M_atp_c,M_adp_c
283,M_atp_c,M_h_c
284,M_atp_c,M_s17bp_c
285,M_s7p_c,M_adp_c
286,M_s7p_c,M_h_c
287,M_s7p_c,M_s17bp_c
288,M_23dhmp_c,M_3mop_c
289,M_23dhmp_c,M_h2o_c
290,M_h_c,M_alac__S_c
291,M_h_c,M_co2_c
292,M_pyr_c,M_alac__S_c
293,M_pyr_c,M_co2_c
294,M_indole_c,M_h2o_c
295,M_indole_c,M_trp__L_c
296,M_ser__L_c,M_h2o_c
297,M_ser__L_c,M_trp__L_c
298,M_pep_c,M_3psme_c
299,M_pep_c,M_pi_c
300,M_skm5p_c,M_3psme_c
301,M_skm5p_c,M_pi_c
302,M_glyc3p_c,M_dhap_c
303,M_glyc3p_c,M_q8h2_c
304,M_q8_c,M_dhap_c
305,M_q8_c,M_q8h2_c
306,M_g1p_c,M_glc__D_c
307,M_g1p_c,M_pi_c
308,M_h2o_c,M_glc__D_c
309,M_h2o_c,M_pi_c
310,M_coa_c,M_accoa_c
311,M_coa_c,M_for_c
312,M_pyr_c,M_accoa_c
313,M_pyr_c,M_for_c
314,M_chor_c,M_anth_c
315,M_chor_c,M_glu__L_c
316,M_chor_c,M_h_c
317,M_chor_c,M_pyr_c
318,M_gln__L_c,M_anth_c
319,M_gln__L_c,M_glu__L_c
320,M_gln__L_c,M_h_c
321,M_gln__L_c,M_pyr_c
322,M_fum_c,M_mqn8_c
323,M_fum_c,M_succ_c
324,M_mql8_c,M_mqn8_c
325,M_mql8_c,M_succ_c
326,M_2dmmql8_c,M_2dmmq8_c
327,M_2dmmql8_c,M_succ_c
328,M_fum_c,M_2dmmq8_c
329,M_fum_c,M_succ_c
330,M_anth_c,M_ppi_c
331,M_anth_c,M_pran_c
332,M_prpp_c,M_ppi_c
333,M_prpp_c,M_pran_c
334,M_h2o_c,M_ac_c
335,M_h2o_c,M_co2_c
336,M_h2o_c,M_q8h2_c
337,M_pyr_c,M_ac_c
338,M_pyr_c,M_co2_c
339,M_pyr_c,M_q8h2_c
340,M_q8_c,M_ac_c
341,M_q8_c,M_co2_c
342,M_q8_c,M_q8h2_c
343,M_chor_c,M_pphn_c
344,M_accoa_c,M_actp_c
345,M_accoa_c,M_coa_c
346,M_pi_c,M_actp_c
347,M_pi_c,M_coa_c
348,M_3psme_c,M_chor_c
349,M_3psme_c,M_pi_c
350,M_2cpr5p_c,M_3ig3p_c
351,M_2cpr5p_c,M_co2_c
352,M_2cpr5p_c,M_h2o_c
353,M_h_c,M_3ig3p_c
354,M_h_c,M_co2_c
355,M_h_c,M_h2o_c
356,M_ac_c,M_actp_c
357,M_ac_c,M_adp_c
358,M_atp_c,M_actp_c
359,M_atp_c,M_adp_c
360,M_4mop_c,M_akg_c
361,M_4mop_c,M_leu__L_c
362,M_glu__L_c,M_akg_c
363,M_glu__L_c,M_leu__L_c
364,M_dmpp_c,M_grdp_c
365,M_dmpp_c,M_ppi_c
366,M_ipdp_c,M_grdp_c
367,M_ipdp_c,M_ppi_c
368,M_grdp_c,M_frdp_c
369,M_grdp_c,M_ppi_c
370,M_ipdp_c,M_frdp_c
371,M_ipdp_c,M_ppi_c
372,M_hmbil_c,M_h2o_c
373,M_hmbil_c,M_uppg3_c
374,M_h_c,M_co2_c
375,M_h_c,M_cpppg3_c
376,M_uppg3_c,M_co2_c
377,M_uppg3_c,M_cpppg3_c
378,M_pi_c,M_2dr1p_c
379,M_pi_c,M_thym_c
380,M_thymd_c,M_2dr1p_c
381,M_thymd_c,M_thym_c
382,M_ckdo_c,M_cmp_c
383,M_ckdo_c,M_h_c
384,M_ckdo_c,M_kdolipid4_c
385,M_lipidA_c,M_cmp_c
386,M_lipidA_c,M_h_c
387,M_lipidA_c,M_kdolipid4_c
388,M_frdp_c,M_ppi_c
389,M_frdp_c,M_udcpdp_c
390,M_ipdp_c,M_ppi_c
391,M_ipdp_c,M_udcpdp_c
392,M_3htdcoa_c,M_h2o_c
393,M_3htdcoa_c,M_td2coa_c
394,M_h2o_c,M_h_c
395,M_h2o_c,M_lipidX_c
396,M_h2o_c,M_ump_c
397,M_u23ga_c,M_h_c
398,M_u23ga_c,M_lipidX_c
399,M_u23ga_c,M_ump_c
400,M_2pg_c,M_h2o_c
401,M_2pg_c,M_pep_c
402,M_fdp_c,M_dhap_c
403,M_fdp_c,M_g3p_c
404,M_co2_c,M_h_c
405,M_co2_c,M_hco3_c
406,M_h2o_c,M_h_c
407,M_h2o_c,M_hco3_c
408,M_dhap_c,M_mthgxl_c
409,M_dhap_c,M_pi_c
410,M_h2o_c,M_fprica_c
411,M_imp_c,M_fprica_c
412,M_h2o_c,M_h_c
413,M_h2o_c,M_nadh_c
414,M_h2o_c,M_xmp_c
415,M_imp_c,M_h_c
416,M_imp_c,M_nadh_c
417,M_imp_c,M_xmp_c
418,M_nad_c,M_h_c
419,M_nad_c,M_nadh_c
420,M_nad_c,M_xmp_c
421,M_atp_c,M_amp_c
422,M_atp_c,M_h_c
423,M_atp_c,M_pep_c
424,M_atp_c,M_pi_c
425,M_h2o_c,M_amp_c
426,M_h2o_c,M_h_c
427,M_h2o_c,M_pep_c
428,M_h2o_c,M_pi_c
429,M_pyr_c,M_amp_c
430,M_pyr_c,M_h_c
431,M_pyr_c,M_pep_c
432,M_pyr_c,M_pi_c
433,M_3hdcoa_c,M_dc2coa_c
434,M_3hdcoa_c,M_h2o_c
435,M_lipidX_c,M_h_c
436,M_lipidX_c,M_lipidAds_c
437,M_lipidX_c,M_udp_c
438,M_u23ga_c,M_h_c
439,M_u23ga_c,M_lipidAds_c
440,M_u23ga_c,M_udp_c
441,M_atp_c,M_amp_c
442,M_atp_c,M_glutrna_c
443,M_atp_c,M_ppi_c
444,M_glu__L_c,M_amp_c
445,M_glu__L_c,M_glutrna_c
446,M_glu__L_c,M_ppi_c
447,M_trnaglu_c,M_amp_c
448,M_trnaglu_c,M_glutrna_c
449,M_trnaglu_c,M_ppi_c
450,M_atp_c,M_adp_c
451,M_atp_c,M_h_c
452,M_atp_c,M_lipidA_c
453,M_lipidAds_c,M_adp_c
454,M_lipidAds_c,M_h_c
455,M_lipidAds_c,M_lipidA_c
456,M_g6p_c,M_f6p_c
457,M_2mahmp_c,M_ppi_c
458,M_2mahmp_c,M_thmmp_c
459,M_4mpetz_c,M_ppi_c
460,M_4mpetz_c,M_thmmp_c
461,M_h_c,M_ppi_c
462,M_h_c,M_thmmp_c
463,M_3pg_c,M_13dpg_c
464,M_3pg_c,M_adp_c
465,M_atp_c,M_13dpg_c
466,M_atp_c,M_adp_c
467,M_2ddg6p_c,M_g3p_c
468,M_2ddg6p_c,M_pyr_c
469,M_dgtp_c,M_dgmp_c
470,M_dgtp_c,M_h_c
471,M_dgtp_c,M_ppi_c
472,M_h2o_c,M_dgmp_c
473,M_h2o_c,M_h_c
474,M_h2o_c,M_ppi_c
475,M_atp_c,M_adp_c
476,M_atp_c,M_h_c
477,M_atp_c,M_ump_c
478,M_uri_c,M_adp_c
479,M_uri_c,M_h_c
480,M_uri_c,M_ump_c
481,M_gtp_c,M_gdp_c
482,M_gtp_c,M_h_c
483,M_gtp_c,M_ump_c
484,M_uri_c,M_gdp_c
485,M_uri_c,M_h_c
486,M_uri_c,M_ump_c
487,M_gtp_c,M_gmp_c
488,M_gtp_c,M_h_c
489,M_gtp_c,M_ppi_c
490,M_h2o_c,M_gmp_c
491,M_h2o_c,M_h_c
492,M_h2o_c,M_ppi_c
493,M_6pgl_c,M_6pgc_c
494,M_6pgl_c,M_h_c
495,M_h2o_c,M_6pgc_c
496,M_h2o_c,M_h_c
497,M_dgtp_c,M_dgsn_c
498,M_dgtp_c,M_pppi_c
499,M_h2o_c,M_dgsn_c
500,M_h2o_c,M_pppi_c
501,M_gtp_c,M_gsn_c
502,M_gtp_c,M_pppi_c
503,M_h2o_c,M_gsn_c
504,M_h2o_c,M_pppi_c
505,M_atp_c,M_adp_c
506,M_atp_c,M_cmp_c
507,M_atp_c,M_h_c
508,M_cytd_c,M_adp_c
509,M_cytd_c,M_cmp_c
510,M_cytd_c,M_h_c
511,M_ru5p__D_c,M_xu5p__D_c
512,M_3dhq_c,M_3dhsk_c
513,M_3dhq_c,M_h2o_c
514,M_3c2hmp_c,M_3c4mop_c
515,M_3c2hmp_c,M_h_c
516,M_3c2hmp_c,M_nadh_c
517,M_nad_c,M_3c4mop_c
518,M_nad_c,M_h_c
519,M_nad_c,M_nadh_c
520,M_5aizc_c,M_5caiz_c
521,M_g3p_c,M_e4p_c
522,M_g3p_c,M_f6p_c
523,M_s7p_c,M_e4p_c
524,M_s7p_c,M_f6p_c
525,M_adn_c,M_ade_c
526,M_adn_c,M_r1p_c
527,M_pi_c,M_ade_c
528,M_pi_c,M_r1p_c
529,M_dad_2_c,M_2dr1p_c
530,M_dad_2_c,M_ade_c
531,M_pi_c,M_2dr1p_c
532,M_pi_c,M_ade_c
533,M_gsn_c,M_gua_c
534,M_gsn_c,M_r1p_c
535,M_pi_c,M_gua_c
536,M_pi_c,M_r1p_c
537,M_25aics_c,M_aicar_c
538,M_25aics_c,M_fum_c
539,M_r5p_c,M_g3p_c
540,M_r5p_c,M_s7p_c
541,M_xu5p__D_c,M_g3p_c
542,M_xu5p__D_c,M_s7p_c
