Line	Source	BiGG	MNXM	Stuff	
12: bigg.metabolite:	oh1	MNXM02	Hydroxideion
43:	bigg.metabolite:	h	MNXM1	H+
118: bigg.metabolite:	nadh	MNXM10	Nicotinamideadeninedinucleotide-reduced
151: bigg.metabolite:	grdp	MNXM100	Geranyldiphosphate
12228: bigg.metabolite:	mercplaccys	MNXM10053	3-mercaptolactate-cysteinedisulfide
16862: bigg.metabolite:	CE2176	MNXM10073	3-O-methyldopa
27540: bigg.metabolite:	12dgr_SC	MNXM1012	12Diacylglycerol(yeastspecific)
29830: bigg.metabolite:	triodthy	MNXM1013	Triiodothyronine
31015: bigg.metabolite:	4hdebrisoquine	MNXM10135	4hdebrisoquinec
31246: bigg.metabolite:	4mtolbutamide	MNXM10136	4mtolbutamidec
34220: bigg.metabolite:	CN0010	MNXM10149	Benzo[a]pyrene-4,5-diol
34457: bigg.metabolite:	3uib	MNXM1015	3-Ureidoisobutyrate
39215: bigg.metabolite:	 btal	MNXM1017	Butanal
41560: bigg.metabolite:	abt__D	MNXM1018	D-Arabitol
46278: bigg.metabolite:	dtbt	MNXM1020	Dethiobiotin
48607: bigg.metabolite:	glutar	MNXM1021	Glutarate
48905: bigg.metabolite:	CE2153	MNXM102111	6-hydroxy-1,2,3,4-tetrahydro-beta-carboline
55475: bigg.metabolite:	lpam	MNXM1024	Lipoamide
61620: bigg.metabolite:	5homeprazole	MNXM10267	5homeprazolec
71289: bigg.metabolite:	tartr__M	MNXM1031	MesoTartaricacid
84716: bigg.metabolite:	5g2oxpt	MNXM1037	2-Oxoarginine
98226: bigg.metabolite:	dca	MNXM1043	Decanoate(n-C10:0)
102853: bigg.metabolite:	mana	MNXM1045	D-Mannonate
105561: bigg.metabolite:	CN0011	MNXM10462	Benzo[a]pyrene-9,10-diol
109487: bigg.metabolite:	gcarote	MNXM1048	Gamma-Carotene
129330: bigg.metabolite:	5hoxindact	MNXM1057	5-Hydroxyindoleacetaldehyde
131545: bigg.metabolite:	Ac1PIM4	MNXM10580	Acylphosphatidylinositolmannosidetetra-mannose(tuberculosis)
140585: bigg.metabolite:	acg5sa	MNXM1062	N-Acetyl-L-glutamate5-semialdehyde
142617: bigg.metabolite:	CE2957	MNXM10629	18-hydroxy-all-trans-retinoate
145126: bigg.metabolite:	3mcat	MNXM1064	3-Methylcatechol
148283: bigg.metabolite:	g1m8mpdol_U	MNXM10654	Alpha-D-Glucosyl-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol,humanuterinehomolog
150115: bigg.metabolite:	m1ocdca	MNXM106625	Methyloctadecanoate
154933: bigg.metabolite:	avite2	MNXM10684	Alpha-Tocotrienol
158652: bigg.metabolite:	no2	MNXM107	Nitrite
160518: bigg.metabolite:	CE2615	MNXM107082	2-hydroxyamino-3,8-dimethylimidazo[4,5-f]quinoxaline
163181: bigg.metabolite:	antipyrene	MNXM10720	Antipyrenec
165193: bigg.metabolite:	apofetn	MNXM10729	Apoferritin
166066: bigg.metabolite:	arabinanagalfragund	MNXM10733	Arabinan-arabinofuranose-galactofuranosyl(30)-rhamanosyl-N-acetylglucosamyl-undecaprenyldiphosphate(Mtb)
166139: bigg.metabolite:	c6dc	MNXM107333	Adipoylcarnitine||5-Carboxypentanoylcarnitine
167320: bigg.metabolite:	oleth	MNXM107386	OleoylEthanolamide
169976: bigg.metabolite:	4hba	MNXM107505	4-Hydroxy-benzylalcohol
171022: bigg.metabolite:	hexdeceeth	MNXM107548	HexadecenoylEthanolamide,C16:1-Ethanolamide(Delta9)
171023: bigg.metabolite:	pmeth	MNXM107548	Palmitoylethanolamide
180169: bigg.metabolite:	PIM2	MNXM107973	Phosphatidylinositolmannosidedi-mannose(tuberculosis)
180794: bigg.metabolite:	hdca	MNXM108	Hexadecanoate(n-C16:0)
184393: bigg.metabolite:	mbdg	MNXM10816	BetaMethylglucoside
