,BiGG,MNXM,Unnamed: 4
1,h,MNXM1,
2,nadh,MNXM10,
3,grdp,MNXM100,
12, btal,MNXM1017,
22,mana,MNXM1045,
27,acg5sa,MNXM1062,
33,no2,MNXM107,
44,hdca,MNXM108,
47,oxur,MNXM1088,
564,5fothf,MNXM1091982,
565,5fthf,MNXM1091982,
1102,HC00342,MNXM1092518,
1103,acon,MNXM1092518,
1104,acon_C,MNXM1092518,
1633,glu5sa,MNXM1093051,
1634,glusemald,MNXM1093051,
1856,lgt__S,MNXM1093274,
1857,lgt_s,MNXM1093274,
2029,3oocoa,MNXM1093448,
2030,HC01406,MNXM1093448,
2031,o3xooctcoa,MNXM1093448,
2062,occoa,MNXM1093479,
2063,octcoa,MNXM1093479,
2883,tma,MNXM1094294,
2884,tmam,MNXM1094294,
3047,ppi,MNXM11,
3063,HC00832,MNXM1101253,
3064,fcl__L,MNXM1101253,
3065,fuc,MNXM1101253,
3069,uacmam,MNXM1101258,
3070,udpacmana,MNXM1101258,
3074,agdpcbi,MNXM1101279,
3076,gmp,MNXM1101285,
3077,2mahmp,MNXM1101289,
3080,kdolipid4,MNXM1101307,
3081,utp,MNXM1101474,
3082,imp,MNXM1101868,
3087,unaga,MNXM1101902,
3099,arbtn,MNXM1101938,
3110,5mta,MNXM1101977,
3125,gp4g,MNXM1102064,
3148,udp,MNXM1102128,
3151,mlthf,MNXM1102150,
3152,xtp,MNXM1102152,
3155,ahcys,MNXM1102167,
3158,3amp,MNXM1102173,
3160,udpgalfur,MNXM1102185,
3161,3ump,MNXM1102189,
3162,cdp,MNXM1102191,
3166,10fthf,MNXM1102376,
3178,aps,MNXM1103086,
3179,uri,MNXM1103104,
3180,r1p,MNXM1103205,
3181,gdp,MNXM1103285,
3182,dnad,MNXM1103300,
3183,cmp,MNXM1103302,
3185,dad_5,MNXM1103313,
3188,ametam,MNXM1103325,
3190,ins,MNXM1103335,
3191,frdp,MNXM1103344,
3195,aicar,MNXM1103365,
3201,gsn,MNXM1103400,
3204,itp,MNXM1103428,
3205,1ddecg3p,MNXM1103432,
3208,3mop,MNXM1103447,
3211,pap,MNXM1103458,
3220,gtp,MNXM1103553,
3222,orot5p,MNXM1103557,
3247,ctp,MNXM1103718,
3251,25dhpp,MNXM1103734,
3252,25drapp,MNXM1103734,
3256,xtsn,MNXM1103769,
3258,3otdcoa,MNXM1103776,
3261,aacoa,MNXM1103802,
3270,ap4a,MNXM1103833,
3276,alac__S,MNXM1103847,
3284,glcur1p,MNXM1103867,
3300,M02447,MNXM1103926,
3301,malthx,MNXM1103926,
3304,HC01180,MNXM1103932,
3305,tagdp__D,MNXM1103932,
3307,thf,MNXM1103936,
3340,maltpt,MNXM1104039,
3379,gdpddman,MNXM1104155,
3381,HC01412,MNXM1104173,
3382,td2coa,MNXM1104173,
3383,tetdece1coa,MNXM1104173,
3386,sucr,MNXM1104180,
3390,gdpmann,MNXM1104188,
3393,micit,MNXM1104204,
3394,cytd,MNXM1104207,
3399,2ommbl,MNXM1104227,
3409,accoa,MNXM1104266,
3410, b2coa,MNXM1104270,
3411,2omhmbl,MNXM1104278,
3413,tdcoa,MNXM1104283,
3415, btcoa,MNXM1104300,
3417,dtdp4d6dm,MNXM1104310,
3419,malt6p,MNXM1104316,
3423,stcoa,MNXM1104352,
3424,3hadicoa,MNXM1104364,
3425,3hadpcoa,MNXM1104364,
3431,xmp,MNXM1104385,
3434,5mthf,MNXM1104393,
3435,preq1,MNXM1104395,
3442,lcts,MNXM1104432,
3443,ddcacoa,MNXM1104435,
3448,prpp,MNXM1104453,
3450,sbt6p,MNXM1104463,
3461,6pgl,MNXM1104491,
3469,dtdp4d6dg,MNXM1104509,
3471,allul6p,MNXM1104516,
3472,fprica,MNXM1104518,
3475,malttr,MNXM1104527,
3476,uacgam,MNXM1104529,
3480,dpcoa,MNXM1104543,
3482,pram,MNXM1104549,
3484,paps,MNXM1104555,
3485,idp,MNXM1104559,
3487,phaccoa,MNXM1104563,
3488,3ohodcoa,MNXM1104572,
3491,mnl,MNXM1104590,
3496,M02451,MNXM1104617,
3497,maltttr,MNXM1104617,
3501,dc2coa,MNXM1104631,
3502,hdd2coa,MNXM1104633,
3504,25aics,MNXM1104647,
3508,dd2coa,MNXM1104661,
3512,prpncoa,MNXM1104673,
3513,alaala,MNXM1104679,
3514,3hdcoa,MNXM1104681,
3515,3odcoa,MNXM1104685,
3517,3oddcoa,MNXM1104695,
3518,3ohcoa,MNXM1104699,
3519,HC01408,MNXM1104699,
3521,3hddcoa,MNXM1104711,
3522,3ohdcoa,MNXM1104713,
3524,hx2coa,MNXM1104717,
3526,3hhcoa,MNXM1104721,
3527,HC01407,MNXM1104721,
3528,3hocoa,MNXM1104724,
3529,HC01405,MNXM1104724,
