,#ID,name,reference,formula,charge,mass,InChI,InChIKey,SMILES
5,MNXM10,NADH,chebi:57945,C21H27N7O14P2,-2.0,663.11022,"InChI=1S/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/p-2/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",InChIKey=BOPGDPNILDQYTO-NNYOXOHSSA-L,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
16474,MNXM1015,(R)-3-Ureidoisobutyrate,keggC:C21029,C5H10N2O3,0.0,146.06914,"InChI=1S/C5H10N2O3/c1-3(4(8)9)2-7-5(6)10/h3H,2H2,1H3,(H,8,9)(H3,6,7,10)/t3-/m1/s1",InChIKey=PHENTZNALBMCQD-GSVOUGTGSA-N,C[C@H](CNC(N)=O)C(=O)O
99546,MNXM1092518,cis-aconitate,chebi:16383,C6H3O6,-3.0,170.99461,"InChI=1S/C6H6O6/c7-4(8)1-3(6(11)12)2-5(9)10/h1H,2H2,(H,7,8)(H,9,10)(H,11,12)/p-3/b3-1-",InChIKey=GTZCVFVGUGFEME-IWQZZHSRSA-K,O=C([O-])/C=C(/CC(=O)[O-])C(=O)[O-]
102134,MNXM1094868,D-glucofuranose,chebi:145664,C6H12O6,0.0,180.06339,"InChI=1S/C6H12O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2-11H,1H2/t2-,3-,4-,5-,6?/m1/s1",InChIKey=AVVWPBAENSWJCB-IVMDWMLBSA-N,OC[C@@H](O)[C@H]1OC(O)[C@H](O)[C@H]1O
108136,MNXM1102131,Aldohexose,seedM:cpd01152,C6H12O6,0.0,180.06339,"InChI=1S/C6H12O6/c7-1-3(9)5(11)6(12)4(10)2-8/h1,3-6,8-12H,2H2",InChIKey=GZCGUPFRVQAUEE-UHFFFAOYSA-N,O=CC(O)C(O)C(O)C(O)CO
108137,MNXM1102132,aldehydo-D-altrose,metacycM:ALTROSE,C6H12O6,0.0,180.06339,"InChI=1S/C6H12O6/c7-1-3(9)5(11)6(12)4(10)2-8/h1,3-6,8-12H,2H2/t3-,4-,5+,6-/m1/s1",InChIKey=GZCGUPFRVQAUEE-ARQDHWQXSA-N,O=C[C@@H](O)[C@H](O)[C@H](O)[C@H](O)CO
108138,MNXM1102133,aldehydo-D-idose,metacycM:CPD-15756,C6H12O6,0.0,180.06339,"InChI=1S/C6H12O6/c7-1-3(9)5(11)6(12)4(10)2-8/h1,3-6,8-12H,2H2/t3-,4-,5+,6+/m1/s1",InChIKey=GZCGUPFRVQAUEE-ZXXMMSQZSA-N,O=C[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)CO
108142,MNXM1102141,"alpha-D-glucose 1,6-bisphosphate",chebi:58392,C6H10O12P2,-4.0,335.96694,"InChI=1S/C6H14O12P2/c7-3-2(1-16-19(10,11)12)17-6(5(9)4(3)8)18-20(13,14)15/h2-9H,1H2,(H2,10,11,12)(H2,13,14,15)/p-4/t2-,3-,4+,5-,6-/m1/s1",InChIKey=RWHOZGRAXYWRNX-VFUOTHLCSA-J,O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])[O-])[C@H](O)[C@@H](O)[C@@H]1O
108164,MNXM1102173,3'-AMP,chebi:60880,C10H12N5O7P,-2.0,345.04853,"InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-6(17)7(4(1-16)21-10)22-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/p-2/t4-,6-,7-,10-/m1/s1",InChIKey=LNQVTSROQXJCDD-KQYNXXCUSA-L,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](OP(=O)([O-])[O-])[C@H]1O
108771,MNXM1102961,"1D-myo-inositol 3,4-bisphosphate",chebi:83241,C6H10O12P2,-4.0,335.96694,"InChI=1S/C6H14O12P2/c7-1-2(8)4(10)6(18-20(14,15)16)5(3(1)9)17-19(11,12)13/h1-10H,(H2,11,12,13)(H2,14,15,16)/p-4/t1-,2-,3-,4+,5-,6-/m0/s1",InChIKey=MCKAJXMRULSUKI-CNWJWELYSA-J,O=P([O-])([O-])O[C@H]1[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1OP(=O)([O-])[O-]
108959,MNXM1103205,alpha-D-ribose 1-phosphate,chebi:57720,C5H9O8P,-2.0,228.0046,"InChI=1S/C5H11O8P/c6-1-2-3(7)4(8)5(12-2)13-14(9,10)11/h2-8H,1H2,(H2,9,10,11)/p-2/t2-,3-,4-,5-/m1/s1",InChIKey=YXJDFQJKERBOBM-TXICZTDVSA-L,O=P([O-])([O-])O[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O
109172,MNXM1103576,keto-D-fructose,chebi:48095,C6H12O6,0.0,180.06339,"InChI=1S/C6H12O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3,5-9,11-12H,1-2H2/t3-,5-,6-/m1/s1",InChIKey=BJHIKXHVCXFQLS-UYFOZJQFSA-N,O=C(CO)[C@@H](O)[C@H](O)[C@H](O)CO
109173,MNXM1103577,a hexose,metacycM:Hexoses,C6H12O6,0.0,180.06339,"InChI=1S/C6H12O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3,5-9,11-12H,1-2H2",InChIKey=BJHIKXHVCXFQLS-UHFFFAOYSA-N,O=C(CO)C(O)C(O)C(O)CO
109202,MNXM1103624,"1D-myo-inositol 1,3-bisphosphate",chebi:83242,C6H10O12P2,-4.0,335.96694,"InChI=1S/C6H14O12P2/c7-1-2(8)5(17-19(11,12)13)4(10)6(3(1)9)18-20(14,15)16/h1-10H,(H2,11,12,13)(H2,14,15,16)/p-4/t1-,2-,3+,4+,5+,6-",InChIKey=PUVHMWJJTITUGO-FICORBCRSA-J,O=P([O-])([O-])O[C@@H]1[C@H](O)[C@H](OP(=O)([O-])[O-])[C@@H](O)[C@H](O)[C@H]1O
109383,MNXM1103932,"D-tagatofuranose 1,6-bisphosphate",chebi:58694,C6H10O12P2,-4.0,335.96694,"InChI=1S/C6H14O12P2/c7-4-3(1-16-19(10,11)12)18-6(9,5(4)8)2-17-20(13,14)15/h3-5,7-9H,1-2H2,(H2,10,11,12)(H2,13,14,15)/p-4/t3-,4+,5+,6?/m1/s1",InChIKey=RNBGYGVWRKECFJ-OEXCPVAWSA-J,O=P([O-])([O-])OC[C@H]1OC(O)(COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
109388,MNXM1103941,"1D-myo-inositol 1,4-bisphosphate",chebi:58282,C6H10O12P2,-4.0,335.96694,"InChI=1S/C6H14O12P2/c7-1-2(8)6(18-20(14,15)16)4(10)3(9)5(1)17-19(11,12)13/h1-10H,(H2,11,12,13)(H2,14,15,16)/p-4/t1-,2-,3-,4+,5+,6+/m1/s1",InChIKey=PELZSPZCXGTUMR-RTPHHQFDSA-J,O=P([O-])([O-])O[C@@H]1[C@@H](O)[C@@H](O)[C@@H](OP(=O)([O-])[O-])[C@H](O)[C@H]1O
109565,MNXM1104266,acetyl-CoA,chebi:57288,C23H34N7O17P3S,-4.0,805.09667,"InChI=1S/C23H38N7O17P3S/c1-12(31)51-7-6-25-14(32)4-5-26-21(35)18(34)23(2,3)9-44-50(41,42)47-49(39,40)43-8-13-17(46-48(36,37)38)16(33)22(45-13)30-11-29-15-19(24)27-10-28-20(15)30/h10-11,13,16-18,22,33-34H,4-9H2,1-3H3,(H,25,32)(H,26,35)(H,39,40)(H,41,42)(H2,24,27,28)(H2,36,37,38)/p-4/t13-,16-,17-,18+,22-/m1/s1",InChIKey=ZSLZBFCDCINBPY-ZSJPKINUSA-J,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
109687,MNXM1104491,"6-phospho-D-glucono-1,5-lactone",chebi:57955,C6H9O9P,-2.0,255.99952,"InChI=1S/C6H11O9P/c7-3-2(1-14-16(11,12)13)15-6(10)5(9)4(3)8/h2-5,7-9H,1H2,(H2,11,12,13)/p-2/t2-,3-,4+,5-/m1/s1",InChIKey=IJOJIVNDFQSGAB-SQOUGZDYSA-L,O=C1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H](O)[C@H]1O
109702,MNXM1104516,D-allulose 6-phosphate,chebi:61519,C6H11O9P,-2.0,258.01517,"InChI=1S/C6H13O9P/c7-1-3(8)5(10)6(11)4(9)2-15-16(12,13)14/h4-7,9-11H,1-2H2,(H2,12,13,14)/p-2/t4-,5+,6-/m1/s1",InChIKey=GSXOAOHZAIYLCY-NGJCXOISSA-L,O=C(CO)[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]
