,#ID,name,reference,formula,charge,mass,InChI,InChIKey,SMILES
1,MNXM01,PMF,mnx:PMF,H,1.0,1.00794,InChI=1S/p+1,InChIKey=GPRLSGONYQIRFK-UHFFFAOYSA-N,[H+]
4,MNXM1,H(+),mnx:PROTON,H,1.0,1.00794,InChI=1S/p+1,InChIKey=GPRLSGONYQIRFK-UHFFFAOYSA-N,[H+]
5,MNXM10,NADH,chebi:57945,C21H27N7O14P2,-2.0,663.11022,"InChI=1S/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/p-2/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",InChIKey=BOPGDPNILDQYTO-NNYOXOHSSA-L,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
99546,MNXM1092518,cis-aconitate,chebi:16383,C6H3O6,-3.0,170.99461,"InChI=1S/C6H6O6/c7-4(8)1-3(6(11)12)2-5(9)10/h1H,2H2,(H,7,8)(H,9,10)(H,11,12)/p-3/b3-1-",InChIKey=GTZCVFVGUGFEME-IWQZZHSRSA-K,O=C([O-])/C=C(/CC(=O)[O-])C(=O)[O-]
109565,MNXM1104266,acetyl-CoA,chebi:57288,C23H34N7O17P3S,-4.0,805.09667,"InChI=1S/C23H38N7O17P3S/c1-12(31)51-7-6-25-14(32)4-5-26-21(35)18(34)23(2,3)9-44-50(41,42)47-49(39,40)43-8-13-17(46-48(36,37)38)16(33)22(45-13)30-11-29-15-19(24)27-10-28-20(15)30/h10-11,13,16-18,22,33-34H,4-9H2,1-3H3,(H,25,32)(H,26,35)(H,39,40)(H,41,42)(H2,24,27,28)(H2,36,37,38)/p-4/t13-,16-,17-,18+,22-/m1/s1",InChIKey=ZSLZBFCDCINBPY-ZSJPKINUSA-J,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
109687,MNXM1104491,"6-phospho-D-glucono-1,5-lactone",chebi:57955,C6H9O9P,-2.0,255.99952,"InChI=1S/C6H11O9P/c7-3-2(1-14-16(11,12)13)15-6(10)5(9)4(3)8/h2-5,7-9H,1H2,(H2,11,12,13)/p-2/t2-,3-,4+,5-/m1/s1",InChIKey=IJOJIVNDFQSGAB-SQOUGZDYSA-L,O=C1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H](O)[C@H]1O
109839,MNXM1104774,succinyl-CoA,chebi:57292,C25H35N7O19P3S,-5.0,862.09487,"InChI=1S/C25H40N7O19P3S/c1-25(2,20(38)23(39)28-6-5-14(33)27-7-8-55-16(36)4-3-15(34)35)10-48-54(45,46)51-53(43,44)47-9-13-19(50-52(40,41)42)18(37)24(49-13)32-12-31-17-21(26)29-11-30-22(17)32/h11-13,18-20,24,37-38H,3-10H2,1-2H3,(H,27,33)(H,28,39)(H,34,35)(H,43,44)(H,45,46)(H2,26,29,30)(H2,40,41,42)/p-5/t13-,18-,19-,20+,24-/m1/s1",InChIKey=VNOYUJKHFWYWIR-ITIYDSSPSA-I,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)[O-]
110046,MNXM1105029,D-glucose,chebi:4167,C6H12O6,0.0,180.06339,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1",InChIKey=WQZGKKKJIJFFOK-GASJEMHNSA-N,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
112445,MNXM1107192,(S)-malate,chebi:15589,C4H4O5,-2.0,132.00697,"InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)/p-2/t2-/m0/s1",InChIKey=BJEPYKJPYRNKOW-REOHCLBHSA-L,O=C([O-])C[C@H](O)C(=O)[O-]
113068,MNXM1107753,citrate,chebi:16947,C6H5O7,-3.0,189.00517,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)/p-3",InChIKey=KRKNYBCHXYNGOX-UHFFFAOYSA-K,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-]
