BiGG,MNXM,Name,PC1,PC2,PC3,PC4,PC5
M_h_c,MNXM1,H(+),-7.503142488162165,17.70728035869477,33.67625605557228,11.116790717365388,-1.8168822734754164
M_nadh_c,MNXM10,NADH,2.4196595085772943,-0.8724844739475924,-0.324878594951419,2.204347724638877,0.8372271794575962
M_grdp_c,MNXM100,(2E)-geranyl diphosphate,-1.714171689261808,-1.7581116085085566,-0.0300814033778833,1.0034413903649766,-0.3888001663749009
M_btal_c,MNXM1017,butanal,-4.5016744511814535,0.6631408752593336,0.2186060928090827,-1.1365132165309242,0.236214771321671
M_dtbt_c,MNXM1020,"(4R,5S)-dethiobiotin",-2.7525694169074235,-0.32375230283663,-0.0245205323864206,0.1069783797035641,0.3823832768168239
M_dca_c,MNXM1043,decanoate,-3.305279633045481,-0.4942710223409106,0.2410055298528026,-0.6182951628750508,-0.1936823767891929
M_mana_c,MNXM1045,D-mannonate,-2.7802852519426824,-1.145880577971821,0.206688944403455,-0.1627025611766686,1.0222930280483242
M_acg5sa_c,MNXM1062,N-acetyl-L-glutamate 5-semialdehyde,-3.029445181331658,-0.4425119364932068,-0.2243024110740473,0.3227319180677752,-0.0174511459999353
M_no2_c,MNXM107,nitrite,-5.250107863095208,2.478502799679132,0.7711503289149385,-2.8416192959083206,0.9704534042310884
M_hdca_c,MNXM108,hexadecanoate,-2.500965760694024,-0.4362344405286801,0.3195121662275688,-0.8308542618854386,-0.8307917087038971
M_oxur_c,MNXM1088,N-carbamoyl-2-oxoglycine,-3.621978252243817,-0.037187464763029,-0.1674442347919021,-0.1334691125627491,0.8782341297383043
M_5fthf_c,MNXM1091982,5-formyltetrahydrofolate,0.1713686198816102,-0.2760746609769744,-0.2640835507314119,0.749701550103819,0.8957894393197148
M_acon_C_c,MNXM1092518,cis-aconitate,-3.2206750383881877,-0.5837151854433282,0.2151077904515948,-0.4468902675082846,1.0952913063251009
M_cur_c,MNXM1092739,curcumin,-1.5824982351155048,0.1516767526053087,0.1987319288195689,-0.6764607597334154,0.2082155073236181
M_dcacoa_c,MNXM1092836,decanoyl-CoA,4.529737159841976,-0.9253152889152384,-0.2338002704203634,1.9260870861136496,-0.0707052400505317
M_dhcholn_c,MNXM1092863,"3alpha,12alpha-dihydroxy-7-oxo-5beta-cholanate",-0.3158183570358876,-1.4502430425293662,0.2116601529238914,-0.122315435509942,-0.1728808796229288
M_f_c,MNXM1092965,fluoride,-6.536632974495569,5.931335792524734,-0.019926591244003,-2.5777388595665163,2.508617210551797
M_glu5sa_c,MNXM1093051,L-glutamate 5-semialdehyde,-3.6164085852794994,-0.15514951591726,-0.0048116397265052,-0.1878328311641065,0.3334413224328348
M_lgt__S_c,MNXM1093274,(R)-S-lactoylglutathione,-0.8831940707299785,-1.5269006581958622,-0.0538910268399353,0.6571676018430717,-0.1885363709260557
M_mercpeth_c,MNXM1093356,mercaptoethanol,-4.495616128883262,-0.0201304333477321,0.5088304902798246,-0.7047432313699057,0.0454773316680011
M_3oocoa_c,MNXM1093448,3-oxooctanoyl-CoA,4.441352948364344,-0.9261201017310088,-0.2616650490285733,2.0310602637732185,0.3064851302024198
M_occoa_c,MNXM1093479,octanoyl-CoA,4.284896220265969,-0.9671296126480504,-0.2556725264452189,2.002479697070127,0.093043417055339
M_teo2_c,MNXM1094276,tellurite,-5.702909161836973,6.701480690350619,-0.3049000925108001,-2.8754294990430296,1.9866006686172184
M_tma_c,MNXM1094294,trimethylamine,-5.253784543792373,1.2903819459067474,0.5047871492408005,-2.2812108905233983,1.6687690789172855
M_fgam_c,MNXM1094915,N(2)-formyl-N(1)-(5-phospho-beta-D-ribosyl)glycinamide,-1.1823772368069392,-1.3316449913118078,-0.3633615080893067,2.0336374752241357,0.4008710359924648
M_fpram_c,MNXM1094916,2-formamido-N(1)-(5-O-phospho-beta-D-ribosyl)acetamidine,-1.2094589983006063,-1.269668676529655,-0.3221107144240114,1.9339976710004825,0.3231071233339436
M_ppi_c,MNXM11,diphosphate,-3.2301092205109607,-1.912264238617404,0.2694956858270711,-0.112270460090303,1.5291716250051162
M_udpacgal_c,MNXM1100890,UDP-N-acetyl-alpha-D-galactosamine,1.809397243383759,-1.3632818756155949,-0.3285009133692428,2.192695681032543,1.0280224330898386
M_fcl__L_c,MNXM1101253,L-fuculose,-3.1974563286978634,-0.9105331915539308,0.2363810164188588,-0.4516039106423929,0.5334821309496621
M_uacmam_c,MNXM1101258,UDP-N-acetyl-alpha-D-mannosamine,1.80951843748426,-1.363096645946754,-0.3285787330441754,2.1909384678701307,1.0268787794429055
M_agdpcbi_c,MNXM1101279,adenosylcob(III)inamide-GDP,10.489151543135176,10.629242689563997,-2.650528680306894,1.9349798842947847,-0.0374783581108233
M_gmp_c,MNXM1101285,GMP,-0.7427551699164214,-1.3937004793382166,-0.1943173665224075,1.6889293517490709,0.8454086814738929
M_2mahmp_c,MNXM1101289,4-amino-2-methyl-5-(diphosphooxymethyl)pyrimidine,-1.7278680977934957,-1.4767258357002293,-0.1261091724792588,1.397207920318284,0.6528313342012437
M_kdolipid4_c,MNXM1101307,alpha-Kdo-(2->6)-lipid IVA,11.154185808213027,-0.2922242691602167,0.1620457220830987,0.365068840862546,-1.3914925568780363
M_utp_c,MNXM1101474,UTP,0.3628664124763646,-1.3445669025251743,-0.350186474428902,2.1803994844190098,1.0588427375402332
M_imp_c,MNXM1101868,IMP,-0.9978374313303378,-1.3997307531145264,-0.1651835723920639,1.5876276889246943,0.8753409768568846
M_unaga_c,MNXM1101902,"N-acetyl-alpha-D-glucosaminyl-di-trans,octa-cis-undecaprenyl diphosphate",5.825223453734798,-0.5214386446358656,0.1494966354305613,-0.0071854677455955,-3.3183666421027174
