BiGG,BiGG_target
M_cytd_c,M_cmp_c
M_cytd_c,M_gdp_c
M_cytd_c,M_h_c
M_gtp_c,M_cmp_c
M_gtp_c,M_gdp_c
M_gtp_c,M_h_c
M_prpp_c,M_ppi_c
M_prpp_c,M_xmp_c
M_xan_c,M_ppi_c
M_xan_c,M_xmp_c
M_hxan_c,M_imp_c
M_hxan_c,M_ppi_c
M_prpp_c,M_imp_c
M_prpp_c,M_ppi_c
M_atp_c,M_adp_c
M_atp_c,M_dgtp_c
M_dgdp_c,M_adp_c
M_dgdp_c,M_dgtp_c
M_3dhsk_c,M_nadp_c
M_3dhsk_c,M_skm_c
M_h_c,M_nadp_c
M_h_c,M_skm_c
M_nadph_c,M_nadp_c
M_nadph_c,M_skm_c
M_atp_c,M_adp_c
M_atp_c,M_dutp_c
M_dudp_c,M_adp_c
M_dudp_c,M_dutp_c
M_atp_c,M_adp_c
M_atp_c,M_datp_c
M_dadp_c,M_adp_c
M_dadp_c,M_datp_c
M_dhor__S_c,M_cbasp_c
M_dhor__S_c,M_h_c
M_h2o_c,M_cbasp_c
M_h2o_c,M_h_c
M_h_c,M_co2_c
M_h_c,M_ump_c
M_orot5p_c,M_co2_c
M_orot5p_c,M_ump_c
M_pi_c,M_r1p_c
M_pi_c,M_ura_c
M_uri_c,M_r1p_c
M_uri_c,M_ura_c
M_glu5p_c,M_glu5sa_c
M_glu5p_c,M_nadp_c
M_glu5p_c,M_pi_c
M_h_c,M_glu5sa_c
M_h_c,M_nadp_c
M_h_c,M_pi_c
M_nadph_c,M_glu5sa_c
M_nadph_c,M_nadp_c
M_nadph_c,M_pi_c
M_accoa_c,M_cit_c
M_accoa_c,M_coa_c
M_accoa_c,M_h_c
M_h2o_c,M_cit_c
M_h2o_c,M_coa_c
M_h2o_c,M_h_c
M_oaa_c,M_cit_c
M_oaa_c,M_coa_c
M_oaa_c,M_h_c
M_icit_c,M_akg_c
M_icit_c,M_co2_c
M_icit_c,M_nadph_c
M_nadp_c,M_akg_c
